Activity,Flow Name,Flow Location,LCIA Method,Unit,Absolute Contribution,Percentage Contribution
Copper,"platinum group metal mine operation, ore with high palladium content",CL,Total EQ,PDF.m2.yr,0.0010496115881443297,0.0026671645307228837
Copper,gold mine operation and refining,ZM,Total EQ,PDF.m2.yr,0.0010082157986277048,0.0025619738270691527
Copper,cobalt production,US,Total EQ,PDF.m2.yr,0.0009717997890000077,0.0024694372256000565
Copper,cobalt production,CD,Total EQ,PDF.m2.yr,0.0008904248157873834,0.0022626555506521317
Copper,"platinum group metal, extraction and refinery operations",ZM,Total EQ,PDF.m2.yr,0.0006998062598273843,0.0017782753693576635
Copper,treatment of copper cake,ZM,Total EQ,PDF.m2.yr,0.0006721965908382194,0.0017081165309219223
Copper,"copper production, cathode, solvent extraction and electrowinning process",KR,Total EQ,PDF.m2.yr,0.0006206084462209943,0.0015770260674752238
Copper,primary zinc production from concentrate,US,Total EQ,PDF.m2.yr,0.0005797014913471787,0.0014730775399135025
Copper,"platinum group metal mine operation, ore with high palladium content",MX,Total EQ,PDF.m2.yr,0.0004795646688169989,0.00121862019179678
Copper,"platinum group metal mine operation, ore with high palladium content",RoW,Total EQ,PDF.m2.yr,0.0004412670477247245,0.0011213022336662216
Copper,cobalt production,RU,Total EQ,PDF.m2.yr,0.0004387967203402364,0.001115024892930275
Copper,gold mine operation and refining,BR,Total EQ,PDF.m2.yr,0.0004073674576919004,0.0010351600976962418
Copper,treatment of copper scrap by electrolytic refining,ZA,Total EQ,PDF.m2.yr,0.0003913783647117808,0.000994530266474198
Copper,gold mine operation and refining,DE,Total EQ,PDF.m2.yr,0.00037599557337051454,0.0009554411063388065
Copper,primary zinc production from concentrate,CD,Total EQ,PDF.m2.yr,0.0003391429704368937,0.0008617950790658571
Copper,"electrorefining of copper, anode",FI,Total EQ,PDF.m2.yr,0.0003388546139715765,0.0008610623374067655
Copper,treatment of copper scrap by electrolytic refining,BE,Total EQ,PDF.m2.yr,0.00032477932888680145,0.0008252956770897848
Copper,"electrorefining of copper, anode",PE,Total EQ,PDF.m2.yr,0.00030048574624573537,0.000763563334691592
Copper,"platinum group metal, extraction and refinery operations",BR,Total EQ,PDF.m2.yr,0.00029280510263062274,0.0007440460766365727
Copper,primary zinc production from concentrate,RU,Total EQ,PDF.m2.yr,0.00027426053327328487,0.0006969225328551365
Copper,treatment of copper cake,BR,Total EQ,PDF.m2.yr,0.00027177568806338186,0.0006906083009211054
Copper,"platinum group metal, extraction and refinery operations",DE,Total EQ,PDF.m2.yr,0.0002601746254609214,0.0006611288791602593
Copper,treatment of copper cake,DE,Total EQ,PDF.m2.yr,0.0002451362611408903,0.0006229149413879183
Copper,"electrorefining of copper, anode",AU,Total EQ,PDF.m2.yr,0.00021354272473229948,0.0005426327106457131
Copper,cobalt production,CL,Total EQ,PDF.m2.yr,0.00018534363413070463,0.00047097609490256396
Copper,"platinum group metal mine operation, ore with high palladium content",ZM,Total EQ,PDF.m2.yr,0.00015486892677962056,0.0003935369169732568
Copper,primary zinc production from concentrate,CL,Total EQ,PDF.m2.yr,0.00012299321411127264,0.00031253764907184233
Copper,"electrorefining of copper, anode",AT,Total EQ,PDF.m2.yr,0.00012267189864239203,0.0003117211553979433
Copper,treatment of copper scrap by electrolytic refining,KR,Total EQ,PDF.m2.yr,9.7707563571484e-05,0.0002482843662215538
Copper,"copper production, cathode, solvent extraction and electrowinning process",FI,Total EQ,PDF.m2.yr,9.561008865574677e-05,0.0002429544796592057
Copper,"electrorefining of copper, anode",CN,Total EQ,PDF.m2.yr,9.507770745312809e-05,0.00024160164754827355
Copper,"treatment of metal part of electronics scrap, in copper, anode, by electrolytic refining",CA,Total EQ,PDF.m2.yr,9.484429429687854e-05,0.00024100852214990257
Copper,cobalt production,MX,Total EQ,PDF.m2.yr,8.680519180984879e-05,0.00022058038544253282
Copper,"copper production, cathode, solvent extraction and electrowinning process",PE,Total EQ,PDF.m2.yr,8.372534977718277e-05,0.00021275420905257977
Copper,cobalt production,RoW,Total EQ,PDF.m2.yr,8.335620915362348e-05,0.0002118161870365053
Copper,"platinum group metal mine operation, ore with high palladium content",DE,Total EQ,PDF.m2.yr,6.708132717635241e-05,0.00017046013834022357
Copper,"copper production, cathode, solvent extraction and electrowinning process",AU,Total EQ,PDF.m2.yr,6.250715644822158e-05,0.0001588367282508679
Copper,"platinum group metal mine operation, ore with high palladium content",BR,Total EQ,PDF.m2.yr,6.11392857946543e-05,0.00015536083666295062
Copper,primary zinc production from concentrate,MX,Total EQ,PDF.m2.yr,5.611510804348696e-05,0.00014259391521760742
Copper,primary zinc production from concentrate,RoW,Total EQ,PDF.m2.yr,5.174387185390927e-05,0.00013148618141212785
Copper,cobalt production,ZM,Total EQ,PDF.m2.yr,4.4440489976095384e-05,0.00011292758190841227
