REF_DATE,GEO,North American Industry Classification System (NAICS),Energy types,UOM,VALUE
2019,Canada,Nickel-copper ore mining [212232],"Coke, quantity purchased (tonnes)",Tonnes,0.0
2019,Canada,Nickel-copper ore mining [212232],"Natural gas, quantity purchased (cubic metres)",Cubic metres,
2019,Canada,Nickel-copper ore mining [212232],"Gasoline - aviation, quantity purchased (litres)",Litres,
2019,Canada,Nickel-copper ore mining [212232],"Gasoline - motor, quantity purchased (litres)",Litres,
2019,Canada,Nickel-copper ore mining [212232],"Kerosene, quantity purchased (litres)",Litres,0.0
2019,Canada,Nickel-copper ore mining [212232],"Diesel fuel, quantity purchased (litres)",Litres,
2019,Canada,Nickel-copper ore mining [212232],"Light Fuel Oil, quantity purchased (litres)",Litres,64505.0
2019,Canada,Nickel-copper ore mining [212232],"Heavy Fuel Oil, quantity purchased (litres)",Litres,0.0
2019,Canada,Nickel-copper ore mining [212232],"Propane, quantity purchased (litres)",Litres,
2019,Canada,Nickel-copper ore mining [212232],"Butane, quantity purchased (litres)",Litres,0.0
2019,Canada,Nickel-copper ore mining [212232],"Electricity, quantity purchased (kilowatt-hour)",Kilowatt-hours,
2019,Canada,Nickel-copper ore mining [212232],"Steam, quantity purchased (gigajoules)",Gigajoules,0.0
2019,Canada,Nickel-copper ore mining [212232],"Wood, quantity purchased (metric tonnes)",Metric tonnes,0.0
2019,Canada,Nickel-copper ore mining [212232],"Water, quantity purchased (litres)",Litres,
2019,Canada,Copper-zinc ore mining [212233],"Coal, quantity purchased (tonnes)",Tonnes,0.0
2019,Canada,Copper-zinc ore mining [212233],"Petroleum coke, quantity purchased (tonnes)",Tonnes,0.0
2019,Canada,Copper-zinc ore mining [212233],"Coke, quantity purchased (tonnes)",Tonnes,0.0
2019,Canada,Copper-zinc ore mining [212233],"Natural gas, quantity purchased (cubic metres)",Cubic metres,
2019,Canada,Copper-zinc ore mining [212233],"Gasoline - aviation, quantity purchased (litres)",Litres,
2019,Canada,Copper-zinc ore mining [212233],"Gasoline - motor, quantity purchased (litres)",Litres,11182788.0
2019,Canada,Copper-zinc ore mining [212233],"Kerosene, quantity purchased (litres)",Litres,0.0
2019,Canada,Copper-zinc ore mining [212233],"Diesel fuel, quantity purchased (litres)",Litres,206538411.0
2019,Canada,Copper-zinc ore mining [212233],"Light Fuel Oil, quantity purchased (litres)",Litres,
2019,Canada,Copper-zinc ore mining [212233],"Heavy Fuel Oil, quantity purchased (litres)",Litres,0.0
2019,Canada,Copper-zinc ore mining [212233],"Propane, quantity purchased (litres)",Litres,25341895.0
2019,Canada,Copper-zinc ore mining [212233],"Butane, quantity purchased (litres)",Litres,0.0
2019,Canada,Copper-zinc ore mining [212233],"Electricity, quantity purchased (kilowatt-hour)",Kilowatt-hours,3969624435.0
2019,Canada,Copper-zinc ore mining [212233],"Steam, quantity purchased (gigajoules)",Gigajoules,0.0
2019,Canada,Copper-zinc ore mining [212233],"Wood, quantity purchased (metric tonnes)",Metric tonnes,0.0
2019,Canada,Copper-zinc ore mining [212233],"Water, quantity purchased (litres)",Litres,0.0
2019,Canada,Other metal ore mining [21229],"Coal, quantity purchased (tonnes)",Tonnes,0.0
2019,Canada,Other metal ore mining [21229],"Petroleum coke, quantity purchased (tonnes)",Tonnes,0.0
2019,Canada,Other metal ore mining [21229],"Coke, quantity purchased (tonnes)",Tonnes,0.0
