Entity,Code,Year,"production|Iron|Smelter, pig iron|tonnes"
World,OWID_WRL,1930,80200000
World,OWID_WRL,1931,55700000
World,OWID_WRL,1932,39800000
World,OWID_WRL,1933,49400000
World,OWID_WRL,1934,63000000
World,OWID_WRL,1935,74400000
World,OWID_WRL,1936,91600000
World,OWID_WRL,1937,104000000
World,OWID_WRL,1938,82900000
World,OWID_WRL,1939,102000000
World,OWID_WRL,1940,110000000
World,OWID_WRL,1941,110000000
World,OWID_WRL,1942,103000000
World,OWID_WRL,1943,105000000
World,OWID_WRL,1944,98000000
World,OWID_WRL,1945,71700000
World,OWID_WRL,1946,71700000
World,OWID_WRL,1947,90700000
World,OWID_WRL,1948,103000000
World,OWID_WRL,1949,105000000
World,OWID_WRL,1950,134000000
World,OWID_WRL,1951,151000000
World,OWID_WRL,1952,153000000
World,OWID_WRL,1953,169000000
World,OWID_WRL,1954,159000000
World,OWID_WRL,1955,193000000
World,OWID_WRL,1956,201000000
World,OWID_WRL,1957,212000000
World,OWID_WRL,1958,197000000
World,OWID_WRL,1959,224000000
World,OWID_WRL,1960,259000000
World,OWID_WRL,1961,256000000
World,OWID_WRL,1962,266000000
World,OWID_WRL,1963,281000000
World,OWID_WRL,1964,317000000
World,OWID_WRL,1965,335000000
World,OWID_WRL,1966,347000000
World,OWID_WRL,1967,350000000
World,OWID_WRL,1968,379000000
World,OWID_WRL,1969,411000000
World,OWID_WRL,1970,431000000
World,OWID_WRL,1971,430000000
World,OWID_WRL,1972,454000000
World,OWID_WRL,1973,501000000
World,OWID_WRL,1974,512000000
World,OWID_WRL,1975,479000000
World,OWID_WRL,1976,498000000
World,OWID_WRL,1977,488000000
World,OWID_WRL,1978,506000000
World,OWID_WRL,1979,532000000
World,OWID_WRL,1980,514000000
World,OWID_WRL,1981,502000000
World,OWID_WRL,1982,457000000
World,OWID_WRL,1983,463000000
World,OWID_WRL,1984,495000000
World,OWID_WRL,1985,499000000
World,OWID_WRL,1986,495000000
World,OWID_WRL,1987,509000000
World,OWID_WRL,1988,539000000
World,OWID_WRL,1989,546000000
World,OWID_WRL,1990,531000000
World,OWID_WRL,1991,509000000
World,OWID_WRL,1992,503000000
World,OWID_WRL,1993,507000000
World,OWID_WRL,1994,516000000
World,OWID_WRL,1995,536000000
World,OWID_WRL,1996,516000000
World,OWID_WRL,1997,540000000
World,OWID_WRL,1998,535000000
World,OWID_WRL,1999,539000000
World,OWID_WRL,2000,573000000
World,OWID_WRL,2001,585000000
World,OWID_WRL,2002,608000000
World,OWID_WRL,2003,673000000
World,OWID_WRL,2004,720000000
World,OWID_WRL,2005,802000000
World,OWID_WRL,2006,881000000
World,OWID_WRL,2007,956000000
World,OWID_WRL,2008,931000000
World,OWID_WRL,2009,919000000
World,OWID_WRL,2010,1040000000
World,OWID_WRL,2011,1100000000
World,OWID_WRL,2012,1120000000
World,OWID_WRL,2013,1170000000
World,OWID_WRL,2014,1190000000
World,OWID_WRL,2015,1160000000
World,OWID_WRL,2016,1170000000
World,OWID_WRL,2017,1190000000
World,OWID_WRL,2018,1260000000
World,OWID_WRL,2019,1280000000
World,OWID_WRL,2020,1310000000
World,OWID_WRL,2021,1350000000
World,OWID_WRL,2022,1300000000
World,OWID_WRL,2023,1300000000
