OBJECTID,Count,Project Name / Nom du projet,Province / Territory,Province / Territoire,Commodity Group,Groupe de produits minéraux
57,57,Christie Lake,Saskatchewan,Saskatchewan,Uranium,Uranium
58,58,West McArthur,Saskatchewan,Saskatchewan,Uranium,Uranium
59,59,East Preston,Saskatchewan,Saskatchewan,Uranium,Uranium
60,60,Rook 1,Saskatchewan,Saskatchewan,Uranium,Uranium
61,61,Patterson Lake North,Saskatchewan,Saskatchewan,Uranium,Uranium
62,62,Patterson Lake South,Saskatchewan,Saskatchewan,Uranium,Uranium
63,63,Clearwater,Alberta,Alberta,Lithium,Lithium
64,64,Grassy Mountain,Alberta,Alberta,Coal,Charbon
65,65,MPD,British Columbia,Colombie-Britannique,Copper,Cuivre
66,66,Shovelnose,British Columbia,Colombie-Britannique,Gold,Or
67,67,Murray River,British Columbia,Colombie-Britannique,Coal,Charbon
68,68,Cariboo,British Columbia,Colombie-Britannique,Gold,Or
69,69,Wicheeda,British Columbia,Colombie-Britannique,Rare earth elements,Éléments des terres rares
70,70,Kliyul,British Columbia,Colombie-Britannique,Copper,Cuivre
71,71,Duke,British Columbia,Colombie-Britannique,Copper,Cuivre
72,72,Lawyer,British Columbia,Colombie-Britannique,Gold,Or
73,73,Ranch,British Columbia,Colombie-Britannique,Gold,Or
74,74,Kitsault Valley,British Columbia,Colombie-Britannique,Gold,Or
75,75,Cassiar,British Columbia,Colombie-Britannique,Gold,Or
76,76,Scottie,British Columbia,Colombie-Britannique,Gold,Or
77,77,Treaty Creek,British Columbia,Colombie-Britannique,Gold,Or
78,78,KSM,British Columbia,Colombie-Britannique,Gold,Or
79,79,Silvertip,British Columbia,Colombie-Britannique,Gold,Or
80,80,Eskay,British Columbia,Colombie-Britannique,Gold,Or
81,81,Corey,British Columbia,Colombie-Britannique,Gold,Or
82,82,Schaft Creek,British Columbia,Colombie-Britannique,Copper,Cuivre
83,83,Iskut,British Columbia,Colombie-Britannique,Gold,Or
84,84,Galore Creek,British Columbia,Colombie-Britannique,Copper,Cuivre
85,85,Thorn,British Columbia,Colombie-Britannique,Copper,Cuivre
86,86,3 Aces,Yukon,Yukon,Gold,Or
87,87,MacMillan Pass,Yukon,Yukon,Zinc,Zinc
88,88,Kudz Ze Kayah,Yukon,Yukon,Zinc,Zinc
89,89,Rogue,Yukon,Yukon,Gold,Or
90,90,AurMac,Yukon,Yukon,Gold,Or
91,91,Casino,Yukon,Yukon,Copper,Cuivre
92,92,Coffee,Yukon,Yukon,Gold,Or
93,93,Nechalacho,Northwest Territories,Territoires de Nord-Ouest,Rare earth elements,Éléments des terres rares
94,94,Yellowknife,Northwest Territories,Territoires de Nord-Ouest,Lithium,Lithium
95,95,Pine Point,Northwest Territories,Territoires de Nord-Ouest,Zinc,Zinc
96,96,Colomac,Northwest Territories,Territoires de Nord-Ouest,Gold,Or
97,97,Prairie Creek,Northwest Territories,Territoires de Nord-Ouest,Zinc,Zinc
98,98,Ferguson Lake,Nunavut,Nunavut,Nickel,Nickel
99,99,Angilak,Nunavut,Nunavut,Uranium,Uranium
100,100,Madrid,Nunavut,Nunavut,Gold,Or
