Source,Country,Type,Prod_kt_2022,Prod_kt_est_2023,Prod_notes,Reserves_mt,Reserves_notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,China,Iron ore - mine production - iron content - thousand metric tons,170000,170000,,6900,"Iron content, million metric tons.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,India,Iron ore - mine production - iron content - thousand metric tons,156000,170000,,3400,"Iron content, million metric tons.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Iran,Iron ore - mine production - iron content - thousand metric tons,51300,50000,,1500,"Iron content, million metric tons.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Kazakhstan,Iron ore - mine production - iron content - thousand metric tons,8890,8800,,900,"Iron content, million metric tons.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Mauritania,Iron ore - mine production - iron content - thousand metric tons,7950,8100,,NA,"Iron content, million metric tons.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Mexico,Iron ore - mine production - iron content - thousand metric tons,6800,7600,,NA,"Iron content, million metric tons.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Peru,Iron ore - mine production - iron content - thousand metric tons,12900,13000,,1200,"Iron content, million metric tons.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Russia,Iron ore - mine production - iron content - thousand metric tons,55800,58000,,14000,"Iron content, million metric tons.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,South Africa,Iron ore - mine production - iron content - thousand metric tons,40500,39000,,620,"Iron content, million metric tons.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Sweden,Iron ore - mine production - iron content - thousand metric tons,27700,27000,,600,"Iron content, million metric tons.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Turkey,Iron ore - mine production - iron content - thousand metric tons,10700,10000,,99,"Iron content, million metric tons.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Ukraine,Iron ore - mine production - iron content - thousand metric tons,21300,22000,,2300," For Ukraine, reserves consist of the A and B categories of the Soviet reserves classification system. Iron content, million metric tons.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Other countries,Iron ore - mine production - iron content - thousand metric tons,32200,27000,,9500,"Iron content, million metric tons.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,World total (rounded),Iron ore - mine production - iron content - thousand metric tons,1540000,1500000,,87000,"Iron content, million metric tons.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
