Entity,Code,Year,production|Tin|Smelter|tonnes
Belgium,BEL,1998,8000
Belgium,BEL,1999,8100
Belgium,BEL,2000,8500
Belgium,BEL,2001,8500
Belgium,BEL,2002,8900
Belgium,BEL,2003,7700
Belgium,BEL,2004,8900
Belgium,BEL,2005,7700
Belgium,BEL,2006,8000
Belgium,BEL,2007,8400
Belgium,BEL,2008,9200
Belgium,BEL,2009,8700
Belgium,BEL,2010,9946
Belgium,BEL,2011,10008
Belgium,BEL,2012,11350
Belgium,BEL,2013,10346
Belgium,BEL,2014,9718
Belgium,BEL,2015,8788
Belgium,BEL,2016,8474
Belgium,BEL,2017,9652
Belgium,BEL,2018,9329
Belgium,BEL,2019,9296
Belgium,BEL,2020,8980
Belgium,BEL,2021,9998
Belgium,BEL,2022,8200
Bolivia,BOL,1976,9868
Bolivia,BOL,1977,13048
Bolivia,BOL,1978,16181
Bolivia,BOL,1979,15696
Bolivia,BOL,1980,17533
Bolivia,BOL,1981,19937
Bolivia,BOL,1982,18980
Bolivia,BOL,1983,14164
Bolivia,BOL,1984,15842
Bolivia,BOL,1985,12859
Bolivia,BOL,1986,7673
Bolivia,BOL,1987,2667
Bolivia,BOL,1988,5481
Bolivia,BOL,1989,9718
Bolivia,BOL,1990,13364
Bolivia,BOL,1991,14659
Bolivia,BOL,1992,14393
Bolivia,BOL,1993,18551
Bolivia,BOL,1994,20019
Bolivia,BOL,1995,17709
Bolivia,BOL,1996,16733
Bolivia,BOL,1997,16853
Bolivia,BOL,1998,11102
Bolivia,BOL,1999,11166
Bolivia,BOL,2000,9353
Bolivia,BOL,2001,11292
Bolivia,BOL,2002,10976
Bolivia,BOL,2003,12836
Bolivia,BOL,2004,13627
Bolivia,BOL,2005,13841
Bolivia,BOL,2006,14089
Bolivia,BOL,2007,12251
Bolivia,BOL,2008,12666
Bolivia,BOL,2009,14715
Bolivia,BOL,2010,14975
Bolivia,BOL,2011,14518
Bolivia,BOL,2012,14280
Bolivia,BOL,2013,14863
Bolivia,BOL,2014,15439
Bolivia,BOL,2015,15464
Bolivia,BOL,2016,16810
Bolivia,BOL,2017,16648
Bolivia,BOL,2018,15611
Bolivia,BOL,2019,15111
Bolivia,BOL,2020,10414
Bolivia,BOL,2021,16258
Bolivia,BOL,2022,14834
Brazil,BRA,1970,3100
Brazil,BRA,1971,3424
Brazil,BRA,1972,3583
Brazil,BRA,1973,4433
Brazil,BRA,1974,4850
Brazil,BRA,1975,5400
Brazil,BRA,1976,6423
Brazil,BRA,1977,7421
Brazil,BRA,1978,9309
Brazil,BRA,1979,10132
Brazil,BRA,1980,8796
Brazil,BRA,1981,7789
Brazil,BRA,1982,9298
Brazil,BRA,1983,12950
Brazil,BRA,1984,18877
Brazil,BRA,1985,24701
Brazil,BRA,1986,25152
Brazil,BRA,1987,28841
Brazil,BRA,1988,41857
Brazil,BRA,1989,44240
Brazil,BRA,1990,37580
Brazil,BRA,1991,29500
Brazil,BRA,1992,27000
Brazil,BRA,1993,26900
Brazil,BRA,1994,20400
Brazil,BRA,1995,16787
Brazil,BRA,1996,18361
Brazil,BRA,1997,17525
Brazil,BRA,1998,14342
Brazil,BRA,1999,12787
Brazil,BRA,2000,13823
Brazil,BRA,2001,12109
Brazil,BRA,2002,11538
Brazil,BRA,2003,10761
Brazil,BRA,2004,11512
Brazil,BRA,2005,8986
Brazil,BRA,2006,8780
Brazil,BRA,2007,9987
Brazil,BRA,2008,11020
Brazil,BRA,2009,8311
Brazil,BRA,2010,9098
Brazil,BRA,2011,9382
Brazil,BRA,2012,11955
Brazil,BRA,2013,14721
Brazil,BRA,2014,22334
Brazil,BRA,2015,16531
Brazil,BRA,2016,17235
Brazil,BRA,2017,16500
Brazil,BRA,2018,16500
Brazil,BRA,2019,16000
Brazil,BRA,2020,16000
Brazil,BRA,2021,16400
Brazil,BRA,2022,17200
China,CHN,1970,20000
China,CHN,1971,20000
China,CHN,1972,20000
China,CHN,1973,20000
China,CHN,1974,20000
China,CHN,1975,22000
China,CHN,1976,11000
China,CHN,1977,13000
China,CHN,1978,14000
China,CHN,1979,14000
China,CHN,1980,16000
China,CHN,1981,16000
China,CHN,1982,16500
China,CHN,1983,16500
China,CHN,1984,25000
China,CHN,1985,24600
China,CHN,1986,26000
China,CHN,1987,25000
China,CHN,1988,24000
China,CHN,1989,30500
China,CHN,1990,35800
China,CHN,1991,36000
China,CHN,1992,39600
China,CHN,1993,51600
China,CHN,1994,67800
China,CHN,1995,67700
China,CHN,1996,71500
China,CHN,1997,67700
China,CHN,1998,79300
China,CHN,1999,90800
China,CHN,2000,110200
China,CHN,2001,104900
China,CHN,2002,81800
China,CHN,2003,98100
China,CHN,2004,115300
China,CHN,2005,121800
China,CHN,2006,132100
China,CHN,2007,148800
China,CHN,2008,139900
China,CHN,2009,140400
China,CHN,2010,149000
China,CHN,2011,155499
China,CHN,2012,147863
China,CHN,2013,159601
China,CHN,2014,187094
China,CHN,2015,167204
China,CHN,2016,182498
China,CHN,2017,178400
China,CHN,2018,177407
China,CHN,2019,182772
China,CHN,2020,202910
China,CHN,2021,200488
China,CHN,2022,200500
Czechoslovakia,OWID_CZS,1970,65
Czechoslovakia,OWID_CZS,1971,80
Czechoslovakia,OWID_CZS,1972,90
Czechoslovakia,OWID_CZS,1973,90
Czechoslovakia,OWID_CZS,1974,120
Czechoslovakia,OWID_CZS,1975,107
Czechoslovakia,OWID_CZS,1976,120
Czechoslovakia,OWID_CZS,1977,120
Czechoslovakia,OWID_CZS,1978,120
Czechoslovakia,OWID_CZS,1979,120
Czechoslovakia,OWID_CZS,1980,215
Czechoslovakia,OWID_CZS,1981,289
Czechoslovakia,OWID_CZS,1982,295
Czechoslovakia,OWID_CZS,1983,307
Czechoslovakia,OWID_CZS,1984,425
Czechoslovakia,OWID_CZS,1985,507
Czechoslovakia,OWID_CZS,1986,240
Czechoslovakia,OWID_CZS,1987,545
Czechoslovakia,OWID_CZS,1988,515
Czechoslovakia,OWID_CZS,1989,562
Czechoslovakia,OWID_CZS,1990,613
Czechoslovakia,OWID_CZS,1991,118
Democratic Republic of Congo,COD,1970,1396
Democratic Republic of Congo,COD,1971,1350
Democratic Republic of Congo,COD,1972,1400
Democratic Republic of Congo,COD,1973,969
Democratic Republic of Congo,COD,1974,685
Democratic Republic of Congo,COD,1975,647
Democratic Republic of Congo,COD,1976,478
Democratic Republic of Congo,COD,1977,663
Democratic Republic of Congo,COD,1978,496
Democratic Republic of Congo,COD,1979,458
Democratic Republic of Congo,COD,1980,216
Democratic Republic of Congo,COD,1981,450
Democratic Republic of Congo,COD,1982,353
Democratic Republic of Congo,COD,1983,201
Democratic Republic of Congo,COD,1984,170
Democratic Republic of Congo,COD,1985,83
Democratic Republic of Congo,COD,1986,56
Democratic Republic of Congo,COD,1987,90
Democratic Republic of Congo,COD,1988,118
Democratic Republic of Congo,COD,1989,60
East Germany,OWID_GDR,1970,1100
East Germany,OWID_GDR,1971,1100
East Germany,OWID_GDR,1972,1100
East Germany,OWID_GDR,1973,1100
East Germany,OWID_GDR,1974,1100
East Germany,OWID_GDR,1975,1300
East Germany,OWID_GDR,1976,1400
East Germany,OWID_GDR,1977,1400
East Germany,OWID_GDR,1978,1500
East Germany,OWID_GDR,1979,1600
East Germany,OWID_GDR,1980,1800
East Germany,OWID_GDR,1981,2000
East Germany,OWID_GDR,1982,2200
East Germany,OWID_GDR,1983,2600
East Germany,OWID_GDR,1984,3000
East Germany,OWID_GDR,1985,2300
East Germany,OWID_GDR,1986,3200
East Germany,OWID_GDR,1987,3214
East Germany,OWID_GDR,1988,3322
East Germany,OWID_GDR,1989,3470
East Germany,OWID_GDR,1990,2862
Greece,GRC,1991,200
India,IND,1997,3700
India,IND,1998,3700
India,IND,1999,3600
India,IND,2008,27
India,IND,2009,27
India,IND,2010,24
India,IND,2011,23
India,IND,2012,14
India,IND,2013,23
India,IND,2014,9
India,IND,2015,17
India,IND,2016,0
India,IND,2017,14
India,IND,2018,7
India,IND,2019,0
India,IND,2020,0
India,IND,2021,0
India,IND,2022,0
Indonesia,IDN,1970,5190
Indonesia,IDN,1971,9218
Indonesia,IDN,1972,12010
Indonesia,IDN,1973,14632
Indonesia,IDN,1974,15065
Indonesia,IDN,1975,17826
Indonesia,IDN,1976,23322
Indonesia,IDN,1977,24005
Indonesia,IDN,1978,25830
Indonesia,IDN,1979,27790
Indonesia,IDN,1980,30465
Indonesia,IDN,1981,32429
Indonesia,IDN,1982,29755
Indonesia,IDN,1983,28390
Indonesia,IDN,1984,22493
Indonesia,IDN,1985,20418
Indonesia,IDN,1986,22080
Indonesia,IDN,1987,24200
Indonesia,IDN,1988,28365
Indonesia,IDN,1989,29916
Indonesia,IDN,1990,30389
Indonesia,IDN,1991,30415
Indonesia,IDN,1992,28151
Indonesia,IDN,1993,28585
Indonesia,IDN,1994,39000
Indonesia,IDN,1995,44218
Indonesia,IDN,1996,48960
Indonesia,IDN,1997,52577
Indonesia,IDN,1998,53997
Indonesia,IDN,1999,48340
Indonesia,IDN,2000,46432
Indonesia,IDN,2001,53470
Indonesia,IDN,2002,58800
Indonesia,IDN,2003,66280
Indonesia,IDN,2004,60697
Indonesia,IDN,2005,67600
Indonesia,IDN,2006,65357
Indonesia,IDN,2007,64127
Indonesia,IDN,2008,54830
Indonesia,IDN,2009,50859
Indonesia,IDN,2010,64200
Indonesia,IDN,2011,73000
Indonesia,IDN,2012,79800
Indonesia,IDN,2013,54800
Indonesia,IDN,2014,69800
Indonesia,IDN,2015,67400
Indonesia,IDN,2016,66900
Indonesia,IDN,2017,78070
Indonesia,IDN,2018,83015
Indonesia,IDN,2019,76389
Indonesia,IDN,2020,58790
Indonesia,IDN,2021,72400
Indonesia,IDN,2022,74000
Japan,JPN,1970,1375
Japan,JPN,1971,1297
Japan,JPN,1972,1349
Japan,JPN,1973,1438
Japan,JPN,1974,1327
Japan,JPN,1975,1219
Japan,JPN,1976,1145
Japan,JPN,1977,1271
Japan,JPN,1978,1140
Japan,JPN,1979,1252
Japan,JPN,1980,1319
Japan,JPN,1981,1313
Japan,JPN,1982,1296
Japan,JPN,1983,1260
Japan,JPN,1984,1354
Japan,JPN,1985,1391
Japan,JPN,1986,1281
Japan,JPN,1987,895
Japan,JPN,1988,846
Japan,JPN,1989,808
Japan,JPN,1990,816
Japan,JPN,1991,716
Japan,JPN,1992,821
Japan,JPN,1993,804
Japan,JPN,2004,707
Japan,JPN,2005,754
Japan,JPN,2006,854
Japan,JPN,2007,879
Japan,JPN,2008,956
Japan,JPN,2009,757
Japan,JPN,2010,841
Japan,JPN,2011,947
Japan,JPN,2012,1133
Japan,JPN,2013,1786
Japan,JPN,2014,1746
Japan,JPN,2015,1688
Japan,JPN,2016,1620
Japan,JPN,2017,1624
Japan,JPN,2018,1647
Japan,JPN,2019,1551
Japan,JPN,2020,1507
Japan,JPN,2021,1878
Japan,JPN,2022,1551
Kazakhstan,KAZ,1994,13900
Kazakhstan,KAZ,1995,3600
Malaysia,MYS,1970,92107
Malaysia,MYS,1971,87095
Malaysia,MYS,1972,91001
Malaysia,MYS,1973,82468
Malaysia,MYS,1974,84394
Malaysia,MYS,1975,83070
Malaysia,MYS,1976,78017
Malaysia,MYS,1977,66305
Malaysia,MYS,1978,71953
Malaysia,MYS,1979,73068
Malaysia,MYS,1980,71318
Malaysia,MYS,1981,69169
Malaysia,MYS,1982,62836
Malaysia,MYS,1983,53338
Malaysia,MYS,1984,44416
Malaysia,MYS,1985,45500
Malaysia,MYS,1986,43788
Malaysia,MYS,1987,44363
Malaysia,MYS,1988,47403
Malaysia,MYS,1989,50900
Malaysia,MYS,1990,49002
Malaysia,MYS,1991,42722
Malaysia,MYS,1992,45598
Malaysia,MYS,1993,40079
Malaysia,MYS,1994,37990
Malaysia,MYS,1995,39443
Malaysia,MYS,1996,38051
Malaysia,MYS,1997,34823
Malaysia,MYS,1998,27201
Malaysia,MYS,1999,28913
Malaysia,MYS,2000,26228
Malaysia,MYS,2001,30417
Malaysia,MYS,2002,30887
Malaysia,MYS,2003,18211
Malaysia,MYS,2004,33900
Malaysia,MYS,2005,37782
Malaysia,MYS,2006,22850
Malaysia,MYS,2007,25471
Malaysia,MYS,2008,31630
Malaysia,MYS,2009,36407
Malaysia,MYS,2010,38737
Malaysia,MYS,2011,40267
Malaysia,MYS,2012,37792
Malaysia,MYS,2013,32668
Malaysia,MYS,2014,34971
Malaysia,MYS,2015,30209
Malaysia,MYS,2016,26802
Malaysia,MYS,2017,27172
Malaysia,MYS,2018,27085
Malaysia,MYS,2019,25752
Malaysia,MYS,2020,22325
Malaysia,MYS,2021,16619
Malaysia,MYS,2022,19385
Mexico,MEX,1970,960
Mexico,MEX,1971,960
Mexico,MEX,1972,960
Mexico,MEX,1973,960
Mexico,MEX,1974,1000
Mexico,MEX,1975,1000
Mexico,MEX,1976,800
Mexico,MEX,1977,1000
Mexico,MEX,1978,1000
Mexico,MEX,1979,1291
Mexico,MEX,1980,1382
Mexico,MEX,1981,866
Mexico,MEX,1982,971
Mexico,MEX,1983,1276
Mexico,MEX,1984,1595
Mexico,MEX,1985,1533
Mexico,MEX,1986,1483
Mexico,MEX,1987,1730
Mexico,MEX,1988,1423
Mexico,MEX,1989,4752
Mexico,MEX,1990,5004
Mexico,MEX,1991,2262
Mexico,MEX,1992,2594
Mexico,MEX,1993,1644
Mexico,MEX,1994,771
Mexico,MEX,1995,415
Mexico,MEX,1996,1234
Mexico,MEX,1997,1188
Mexico,MEX,1998,1083
Mexico,MEX,1999,1262
Mexico,MEX,2000,1204
Mexico,MEX,2001,1789
Mexico,MEX,2003,0
Mexico,MEX,2004,0
Morocco,MAR,1970,12
Morocco,MAR,1971,12
Morocco,MAR,1972,12
Morocco,MAR,1973,12
Myanmar,MMR,1980,0
Myanmar,MMR,1981,0
Myanmar,MMR,1982,500
Myanmar,MMR,1983,500
Myanmar,MMR,1984,700
Myanmar,MMR,1985,500
Myanmar,MMR,1986,649
Myanmar,MMR,1987,309
Myanmar,MMR,1988,110
Myanmar,MMR,1989,171
Myanmar,MMR,1990,286
Myanmar,MMR,1991,157
Myanmar,MMR,1992,189
Myanmar,MMR,1993,170
Myanmar,MMR,1994,200
Myanmar,MMR,1995,190
Netherlands,NLD,1970,5937
Netherlands,NLD,1971,837
Netherlands,NLD,1976,2000
Netherlands,NLD,1977,2100
Netherlands,NLD,1978,1625
Netherlands,NLD,1979,1720
Netherlands,NLD,1980,1148
Netherlands,NLD,1981,3500
Netherlands,NLD,1982,2757
Netherlands,NLD,1983,5398
Netherlands,NLD,1984,6517
Netherlands,NLD,1985,6033
Netherlands,NLD,1986,5104
Netherlands,NLD,1987,3834
Netherlands,NLD,1988,3478
Netherlands,NLD,1989,4529
Netherlands,NLD,1990,6100
Netherlands,NLD,1991,5000
Nigeria,NGA,1970,8069
Nigeria,NGA,1971,7348
Nigeria,NGA,1972,6744
Nigeria,NGA,1973,5983
Nigeria,NGA,1974,5574
Nigeria,NGA,1975,4677
Nigeria,NGA,1976,3667
Nigeria,NGA,1977,3315
Nigeria,NGA,1978,2984
Nigeria,NGA,1979,2858
Nigeria,NGA,1980,2684
Nigeria,NGA,1981,2489
Nigeria,NGA,1982,1808
Nigeria,NGA,1983,1244
Nigeria,NGA,1984,1334
Nigeria,NGA,1985,1079
Nigeria,NGA,1986,91
Nigeria,NGA,1987,561
Nigeria,NGA,1988,427
Nigeria,NGA,1989,358
Nigeria,NGA,1990,320
Nigeria,NGA,1991,400
Nigeria,NGA,1993,169
Nigeria,NGA,1994,316
Nigeria,NGA,1995,259
Nigeria,NGA,1996,56
Nigeria,NGA,1997,2475
Nigeria,NGA,1998,1920
Nigeria,NGA,1999,2208
Nigeria,NGA,2000,2760
Nigeria,NGA,2001,2870
Nigeria,NGA,2002,728
Nigeria,NGA,2003,801
Peru,PER,1996,800
Peru,PER,1997,8759
Peru,PER,1998,13928
Peru,PER,1999,17342
Peru,PER,2000,17357
Peru,PER,2001,25070
Peru,PER,2002,35828
Peru,PER,2003,39181
Peru,PER,2004,40624
Peru,PER,2005,36733
Peru,PER,2006,40495
Peru,PER,2007,36004
Peru,PER,2008,38865
Peru,PER,2009,34388
Peru,PER,2010,36451
Peru,PER,2011,32290
Peru,PER,2012,24811
Peru,PER,2013,24181
Peru,PER,2014,24460
Peru,PER,2015,20396
Peru,PER,2016,19390
Peru,PER,2017,17906
Peru,PER,2018,18255
Peru,PER,2019,19555
Peru,PER,2020,19585
Peru,PER,2021,25947
Peru,PER,2022,26630
Poland,POL,2010,602
Poland,POL,2011,82
Poland,POL,2012,1375
Poland,POL,2013,1900
Poland,POL,2014,2263
Poland,POL,2015,2059
Poland,POL,2016,2903
Poland,POL,2017,3380
Poland,POL,2018,3817
Poland,POL,2019,4099
Poland,POL,2020,3915
Poland,POL,2021,4617
Poland,POL,2022,4275
Portugal,PRT,1970,392
Portugal,PRT,1971,498
Portugal,PRT,1972,606
Portugal,PRT,1973,524
Portugal,PRT,1974,450
Portugal,PRT,1975,409
Portugal,PRT,1976,319
Portugal,PRT,1977,588
Portugal,PRT,1978,490
Portugal,PRT,1979,445
Portugal,PRT,1980,495
Portugal,PRT,1981,400
Portugal,PRT,1982,503
Portugal,PRT,1983,421
Portugal,PRT,1984,409
Portugal,PRT,1985,460
Portugal,PRT,1986,137
Portugal,PRT,1987,13
Portugal,PRT,1988,20
Portugal,PRT,1989,50
Portugal,PRT,1990,100
Portugal,PRT,1991,100
Portugal,PRT,1992,100
Portugal,PRT,1993,100
Portugal,PRT,1994,100
Portugal,PRT,1995,100
Russia,RUS,1992,25800
Russia,RUS,1993,14500
Russia,RUS,1994,12200
Russia,RUS,1995,12000
Russia,RUS,1996,12400
Russia,RUS,1997,9200
Russia,RUS,1998,4100
Russia,RUS,1999,4000
Russia,RUS,2000,5200
Russia,RUS,2001,5069
Russia,RUS,2002,5115
Russia,RUS,2003,3700
Russia,RUS,2004,4200
Russia,RUS,2005,3700
Russia,RUS,2006,3700
Russia,RUS,2007,2898
Russia,RUS,2008,1725
Russia,RUS,2009,1429
Russia,RUS,2010,1381
Russia,RUS,2011,726
Russia,RUS,2012,900
Russia,RUS,2013,800
Russia,RUS,2014,0
Russia,RUS,2015,0
Russia,RUS,2016,0
Russia,RUS,2017,800
Russia,RUS,2018,1100
Russia,RUS,2019,1650
Russia,RUS,2020,1600
Russia,RUS,2021,2400
Russia,RUS,2022,2500
Rwanda,RWA,1982,908
Rwanda,RWA,1983,1110
Rwanda,RWA,1984,1040
Rwanda,RWA,1985,948
Rwanda,RWA,1986,0
Rwanda,RWA,2011,0
Rwanda,RWA,2012,0
Rwanda,RWA,2013,0
Rwanda,RWA,2015,0
Rwanda,RWA,2016,0
Rwanda,RWA,2017,0
Rwanda,RWA,2018,10
Rwanda,RWA,2019,92
Rwanda,RWA,2020,547
Rwanda,RWA,2021,395
Rwanda,RWA,2022,643
Singapore,SGP,1980,4000
Singapore,SGP,1981,4000
Singapore,SGP,1982,4000
Singapore,SGP,1983,1800
Singapore,SGP,1984,3500
Singapore,SGP,1985,4000
Singapore,SGP,1986,500
Singapore,SGP,1987,1100
Singapore,SGP,1988,900
Singapore,SGP,1989,600
Singapore,SGP,1990,600
Singapore,SGP,1991,200
Singapore,SGP,2012,536
South Africa,ZAF,1970,613
South Africa,ZAF,1971,714
South Africa,ZAF,1972,779
South Africa,ZAF,1973,874
South Africa,ZAF,1974,854
South Africa,ZAF,1975,780
South Africa,ZAF,1976,683
South Africa,ZAF,1977,582
South Africa,ZAF,1978,637
South Africa,ZAF,1979,819
South Africa,ZAF,1980,1100
South Africa,ZAF,1981,2602
South Africa,ZAF,1982,2884
South Africa,ZAF,1983,2685
South Africa,ZAF,1984,2371
South Africa,ZAF,1985,2683
South Africa,ZAF,1986,2804
South Africa,ZAF,1987,1688
South Africa,ZAF,1988,2410
South Africa,ZAF,1989,2300
South Africa,ZAF,1990,2100
South Africa,ZAF,1991,1600
South Africa,ZAF,1992,600
South Africa,ZAF,1993,500
South Africa,ZAF,1994,100
South Korea,KOR,1980,400
South Korea,KOR,1981,200
South Korea,KOR,1982,0
South Korea,KOR,1983,400
South Korea,KOR,1984,1200
South Korea,KOR,1985,1600
South Korea,KOR,1986,1266
South Korea,KOR,1987,1834
South Korea,KOR,1988,2500
South Korea,KOR,1989,2400
South Korea,KOR,1990,2500
South Korea,KOR,1991,2300
South Korea,KOR,1992,400
South Korea,KOR,1993,400
Spain,ESP,1970,3908
Spain,ESP,1971,4135
Spain,ESP,1972,4761
Spain,ESP,1973,5816
Spain,ESP,1974,5862
Spain,ESP,1975,5249
Spain,ESP,1976,4359
Spain,ESP,1977,5343
Spain,ESP,1978,3255
Spain,ESP,1979,3529
Spain,ESP,1980,3369
Spain,ESP,1981,3100
Spain,ESP,1982,2700
Spain,ESP,1983,3500
Spain,ESP,1984,2900
Spain,ESP,1985,3300
Spain,ESP,1986,1725
Spain,ESP,1987,1671
Spain,ESP,1988,246
Spain,ESP,1989,1409
Spain,ESP,1990,1349
Spain,ESP,1991,1700
Spain,ESP,1992,2400
Spain,ESP,1993,2000
Spain,ESP,1994,200
Taiwan,TWN,2013,2400
Taiwan,TWN,2014,2600
Taiwan,TWN,2015,2700
Taiwan,TWN,2016,2800
Taiwan,TWN,2017,2800
Taiwan,TWN,2018,2800
Taiwan,TWN,2019,3800
Taiwan,TWN,2020,3700
Taiwan,TWN,2021,4000
Taiwan,TWN,2022,4200
Thailand,THA,1970,22040
Thailand,THA,1971,21742
Thailand,THA,1972,22281
Thailand,THA,1973,22927
Thailand,THA,1974,19827
Thailand,THA,1975,16630
Thailand,THA,1976,20337
Thailand,THA,1977,23102
Thailand,THA,1978,28945
Thailand,THA,1979,33058
Thailand,THA,1980,34689
Thailand,THA,1981,32636
Thailand,THA,1982,25479
Thailand,THA,1983,18467
Thailand,THA,1984,19729
Thailand,THA,1985,17996
Thailand,THA,1986,19672
Thailand,THA,1987,15438
Thailand,THA,1988,14675
Thailand,THA,1989,14571
Thailand,THA,1990,15512
Thailand,THA,1991,11255
Thailand,THA,1992,10679
Thailand,THA,1993,8099
Thailand,THA,1994,7759
Thailand,THA,1995,8243
Thailand,THA,1996,10981
Thailand,THA,1997,11984
Thailand,THA,1998,15353
Thailand,THA,1999,17306
Thailand,THA,2000,17076
Thailand,THA,2001,22387
Thailand,THA,2002,17500
Thailand,THA,2003,15200
Thailand,THA,2004,20800
Thailand,THA,2005,31600
Thailand,THA,2006,27540
Thailand,THA,2007,23104
Thailand,THA,2008,21860
Thailand,THA,2009,19423
Thailand,THA,2010,23551
Thailand,THA,2011,23944
Thailand,THA,2012,22992
Thailand,THA,2013,23087
Thailand,THA,2014,16661
Thailand,THA,2015,10502
Thailand,THA,2016,11088
Thailand,THA,2017,10601
Thailand,THA,2018,10880
Thailand,THA,2019,9597
Thailand,THA,2020,11307
Thailand,THA,2021,12069
Thailand,THA,2022,9526
USSR,OWID_USS,1975,30000
USSR,OWID_USS,1976,17000
USSR,OWID_USS,1977,17500
USSR,OWID_USS,1978,18000
USSR,OWID_USS,1979,18000
USSR,OWID_USS,1980,17000
USSR,OWID_USS,1981,16000
USSR,OWID_USS,1982,17000
USSR,OWID_USS,1983,18500
USSR,OWID_USS,1984,18500
USSR,OWID_USS,1985,18500
USSR,OWID_USS,1986,17000
USSR,OWID_USS,1987,17000
USSR,OWID_USS,1988,16000
USSR,OWID_USS,1989,14000
USSR,OWID_USS,1990,14000
USSR,OWID_USS,1991,18000
United Kingdom,GBR,1970,22035
United Kingdom,GBR,1971,23153
United Kingdom,GBR,1972,21333
United Kingdom,GBR,1973,20404
United Kingdom,GBR,1974,11948
United Kingdom,GBR,1975,11585
United Kingdom,GBR,1976,11161
United Kingdom,GBR,1977,10458
United Kingdom,GBR,1978,8445
United Kingdom,GBR,1979,8025
United Kingdom,GBR,1980,5829
United Kingdom,GBR,1981,6863
United Kingdom,GBR,1982,8164
United Kingdom,GBR,1983,6467
United Kingdom,GBR,1984,7105
United Kingdom,GBR,1985,7548
United Kingdom,GBR,1986,9227
United Kingdom,GBR,1987,12135
United Kingdom,GBR,1988,9014
United Kingdom,GBR,1989,3584
United Kingdom,GBR,1990,6122
United Kingdom,GBR,1991,1661
United States,USA,1970,4540
United States,USA,1971,4450
United States,USA,1972,4369
United States,USA,1973,4877
United States,USA,1974,6096
United States,USA,1975,6500
United States,USA,1976,5700
United States,USA,1977,6724
United States,USA,1978,5900
United States,USA,1979,4600
United States,USA,1980,3000
United States,USA,1981,2000
United States,USA,1982,3500
United States,USA,1983,2500
United States,USA,1984,4000
United States,USA,1985,3000
United States,USA,1986,3213
United States,USA,1987,3905
United States,USA,1988,1467
United States,USA,1989,1000
United States,USA,1990,0
Vietnam,VNM,1980,0
Vietnam,VNM,1981,0
Vietnam,VNM,1982,475
Vietnam,VNM,1983,520
Vietnam,VNM,1984,475
Vietnam,VNM,1985,570
Vietnam,VNM,1986,620
Vietnam,VNM,1987,526
Vietnam,VNM,1988,573
Vietnam,VNM,1989,659
Vietnam,VNM,1990,1808
Vietnam,VNM,1991,3440
Vietnam,VNM,1992,3727
Vietnam,VNM,1993,2345
Vietnam,VNM,1994,2300
Vietnam,VNM,1995,2300
Vietnam,VNM,1996,3008
Vietnam,VNM,1997,2790
Vietnam,VNM,1998,2320
