DEPOSIT_GROUP,DEPOSIT_TYPE,PRIMARY_COMMODITIES,count,countries
Porphyry,Porphyry Cu-Mo,"Au, Cu, Ag",3,USA
Skarn,Skarn Cu,"Au, Cu, Ag",3,USA
Metasomatic iron,Iron oxide Au,"Au, Cu, Bi, Co, Ag",2,AUS
IOCG,Magnetite-dominant IOCG,"Au, Cu, Bi, FeOre, Ag",12,AUS
Porphyry,Porphyry Cu ± Au,"Au, Cu, Mo",9,IND
Volcanogenic massive sulfide (VMS),Bimodal-felsic VMS,"Au, Cu, Pb, Zn",12,USA
Volcanogenic massive sulfide (VMS),Bimodal-felsic VMS,"Au, Cu, Zn",6,AUS
Epithermal,LS epithermal Au-Ag,"Au, Kln, Hg, Ag",6,USA
Porphyry,Porphyry Cu Â± Au,"Au, Mo, Cu",3,AUS
Komatiite,Komatiite Ni-Cu-PGE,"Au, Ni, Cu, Co, PGE",126,AUS
Distal-disseminated,Distal-disseminated Ag-Au,"Au, Pb, Ag, Zn",1,USA
Volcanogenic massive sulfide (VMS),Mafic-siliciclastic VMS,"Au, Pb, Zn",3,USA
Metasomatic iron,Iron oxide Au,"Au, Pd",3,BRA
Orogenic,Epizonal orogenic Sb ± Au,"Au, PGE, Ag, Sb",3,ZAF
Orogenic,Epizonal orogenic Sb ± Au,"Au, Sb",3,NZL
IOCG,Magnetite-dominant IOCG,"Au, Se, Bi, Cu",10,AUS
Orogenic,Mesozonal orogenic Au,"Au, Te, Ag",3,USA
Unconformity-related,Unconformity-related U,"Au, U3O8, U",2,AUS
Porphyry,Climax-type porphyry Mo,"Au, Zn, Ag",1,USA
Replacement,Replacement polymetallic,"Au, Zn, Ag",1,USA
Vein,Vein polymetallic,"Au, Zn, Ag",1,USA
Volcanogenic massive sulfide (VMS),Bimodal-felsic VMS,"Au, Zn, Ag",5,USA
Replacement,Replacement polymetallic,"Au, Zn, Pb",1,USA
Volcanogenic massive sulfide (VMS),Bimodal-felsic VMS,"Au, Zn, Pb",15,AUS
Volcanogenic massive sulfide (VMS),Bimodal-felsic VMS,Ba,4,USA
Epithermal,Epithermal beryllium,Be,5,USA
Mississippi Valley-type (MVT),MVT Zn-Pb,"Bit, Pb",1,USA
Metasomatic iron,Iron silicate polymetallic,Co,202,USA
Metasomatic iron,Iron silicate polymetallic,"Co, Cu",139,USA
Sediment-hosted,Sediment-hosted Cu ± Co,"Co, Cu",12,"COD, ZMB"
Volcanogenic massive sulfide (VMS),Mafic-ultramafic VMS,"Co, Cu",4,FIN
Metasomatic iron,Iron silicate polymetallic,"Co, Cu ",4,USA
IOCG,Magnetite-dominant IOCG,"Co, Cu, Fe",153,USA
Komatiite,Komatiite Ni-Cu-PGE,"Co, Ni",1,AUS
Vein,Vein ± replacement Ni,"Co, Ni",6,AUS
Ophiolite,Ophiolite Cr,Cr,5,"NZL, USA"
Ultramafic and (or) mafic-layered intrusion,U-M layered intrusion Cr,Cr,9,ZAF
Ultramafic and (or) mafic-layered intrusion,unknown,Cr,1,USA
Ultramafic and (or) mafic-layered intrusion,U-M layered intrusion Cr,"Cr, FeCr2O4",3,AUS
Breccia pipe,Breccia pipe Cu,Cu,20,"AUS, USA"
Epithermal,"IS epithermal Ag-Au ± Zn, Pb, Cu, Sn, Mn",Cu,2,JPN
IOCG,Hematite-dominant IOCG,Cu,9,"CHL, MEX"
IOCG,Magnetite-dominant IOCG,Cu,69,"ARG, AUS, BRA, CHL, IND, MEX, MRT, SWE, USA, ZAF"
IOCG,unknown,Cu,11,USA
Komatiite,Komatiite Ni-Cu-PGE,Cu,3,AUS
Metasomatic iron,Iron oxide Au,Cu,6,AUS
Metasomatic iron,Iron sulfide polymetallic,Cu,4,AUS
Orogenic,Orogenic Cu ± Au,Cu,16,AUS
Orogenic,Orogenic Cu Â± Au,Cu,5,AUS
Placer,Heavy mineral sands,Cu,6,BGR
Porphyry,Porphyry Au ± Cu,Cu,2,MEX
Porphyry,Porphyry Cu ± Au,Cu,19,"CHL, USA"
Porphyry,Porphyry Cu-Mo,Cu,107,"AUS, USA"
Replacement,Replacement Cu,Cu,27,USA
Replacement,Replacement polymetallic,Cu,1,USA
Sediment-hosted,Sediment-hosted Cu ± Co,Cu,86,"AUS, CHN, COD, CUB, POL, USA, ZMB"
Skarn,Skarn Au ± Cu ± W,Cu,1,USA
Skarn,Skarn Cu,Cu,18,"AUS, CHN, THA, USA"
Skarn,Skarn Zn-Pb-Ag,Cu,1,USA
Supergene,Supergene Cu,Cu,1,USA
Ultramafic and (or) mafic conduit,U-M conduit Ni-Cu-PGE,Cu,6,ZAF
Vein,Vein polymetallic,Cu,7,"JPN, USA"
Volcanogenic massive sulfide (VMS),Bimodal-felsic VMS,Cu,25,"AUS, USA"
Volcanogenic massive sulfide (VMS),Felsic-siliciclastic VMS,Cu,3,ESP
Volcanogenic massive sulfide (VMS),Mafic-siliciclastic VMS,Cu,40,"AUS, USA"
Volcanogenic massive sulfide (VMS),Mafic-ultramafic VMS,Cu,3,USA
Epithermal,HS epithermal Ag-Au ± Cu,"Cu, Ag",10,USA
Epithermal,"IS epithermal Ag-Au ± Zn, Pb, Cu, Sn, Mn","Cu, Ag",4,USA
Porphyry,Porphyry Au ± Cu,"Cu, Ag",1,MEX
Porphyry,Porphyry Cu-Mo,"Cu, Ag",5,USA
Sediment-hosted,Sediment-hosted Cu ± Co,"Cu, Ag",2,USA
Sediment-hosted,Siliciclastic-mafic Zn-Pb,"Cu, Ag",66,AUS
Skarn,Skarn Cu,"Cu, Ag",1,USA
Vein,Vein polymetallic,"Cu, Ag",3,USA
Volcanogenic massive sulfide (VMS),Mafic-siliciclastic VMS,"Cu, Ag",5,USA
IOCG,Magnetite-dominant IOCG,"Cu, Ag, Au",26,AUS
Volcanogenic massive sulfide (VMS),Bimodal-mafic VMS,"Cu, Ag, Au",6,USA
Porphyry,Porphyry Cu-Mo,"Cu, Ag, Mo",12,CHL
Orogenic,Orogenic Cu ± Au,"Cu, Ag, Pb",3,NAM
Replacement,Replacement polymetallic,"Cu, Ag, Pb",2,USA
Skarn,Skarn Cu,"Cu, Ag, Pb, Au, As, Zn, Mo",6,USA
Sediment-hosted,Sediment-hosted Cu ± Co,"Cu, Ag, Se, Ni, Re, Au",3,POL
Orogenic,Orogenic Ag-Pb-Zn-Cu-Sb,"Cu, Ag, Zn, Au, Pb",6,AUS
IOCG,Hematite-dominant IOCG,"Cu, Au",103,AUS
IOCG,Magnetite-dominant IOCG,"Cu, Au",59,"AUS, CAN, CHL, USA"
Intrusion-related,Oxidized intrusion-related Au,"Cu, Au",3,VEN
Metasomatic iron,Iron oxide Au,"Cu, Au",1,USA
Orogenic,Mesozonal orogenic Au,"Cu, Au",6,AUS
Orogenic,Orogenic Cu ± Au,"Cu, Au",3,AUS
Placer,Heavy mineral sands,"Cu, Au",18,"IDN, JPN"
Porphyry,Porphyry Cu ± Au,"Cu, Au",44,"AUS, IDN, PNG, USA"
Porphyry,Porphyry Cu-Mo,"Cu, Au",32,USA
Replacement,Replacement Cu,"Cu, Au",3,USA
Skarn,Skarn Au ± Cu ± W,"Cu, Au",33,AUS
Skarn,Skarn Zn-Pb-Ag,"Cu, Au",1,USA
Vein,Vein Cu,"Cu, Au",21,"AUS, USA"
Volcanogenic massive sulfide (VMS),Bimodal-felsic VMS,"Cu, Au",15,USA
Volcanogenic massive sulfide (VMS),Bimodal-mafic VMS,"Cu, Au",6,AUS
Volcanogenic massive sulfide (VMS),Mafic-siliciclastic VMS,"Cu, Au",19,"AUS, USA"
Metasomatic iron,Iron oxide Au,"Cu, Au, Ag",18,AUS
Porphyry,Porphyry Cu ± Au,"Cu, Au, Ag",6,IDN
Porphyry,Porphyry Cu-Mo,"Cu, Au, Ag",26,USA
Replacement,Replacement Cu,"Cu, Au, Ag",3,USA
Replacement,Replacement polymetallic,"Cu, Au, Ag",1,USA
Vein,Vein polymetallic,"Cu, Au, Ag",1,USA
Volcanogenic massive sulfide (VMS),Bimodal-mafic VMS,"Cu, Au, Ag",9,RUS
Volcanogenic massive sulfide (VMS),Mafic-siliciclastic VMS,"Cu, Au, Ag",4,USA
Orogenic,Orogenic Cu Â± Au,"Cu, Au, Ag, Co",1,AUS
Volcanogenic massive sulfide (VMS),Bimodal-felsic VMS,"Cu, Au, Ag, Zn",3,RUS
Volcanogenic massive sulfide (VMS),Bimodal-mafic VMS,"Cu, Au, Ag, Zn",6,RUS
Volcanogenic massive sulfide (VMS),Mafic-siliciclastic VMS,"Cu, Au, Ag, Zn",12,"JPN, RUS"
Porphyry,Porphyry Cu ± Au,"Cu, Au, Mo",44,USA
Porphyry,Porphyry Cu-Mo,"Cu, Au, Mo",13,USA
Replacement,Replacement Cu,"Cu, Au, Mo",1,USA
Skarn,Skarn Cu,"Cu, Au, Mo",2,USA
Porphyry,Porphyry Cu-Mo,"Cu, Au, Mo, Ag",1,USA
Vein,Vein polymetallic,"Cu, Au, Pb, Ag, W",1,USA
Epithermal,"IS epithermal Ag-Au ± Zn, Pb, Cu, Sn, Mn","Cu, Au, Pb, Ag, Zn",1,USA
IOCG,Hematite-dominant IOCG,"Cu, Au, U",7,AUS
Volcanogenic massive sulfide (VMS),Bimodal-felsic VMS,"Cu, Au, Zn",4,"RUS, USA"
Volcanogenic massive sulfide (VMS),Bimodal-mafic VMS,"Cu, Au, Zn",3,RUS
Porphyry,Porphyry Cu ± Au,"Cu, Au, Zn, Ag, Pb",3,USA
IOCG,Magnetite-dominant IOCG,"Cu, Co",1,AUS
Orogenic,Orogenic Cu ± Au,"Cu, Co",13,AUS
Sediment-hosted,Sediment-hosted Cu ± Co,"Cu, Co",12,"AUS, ZMB"
Ultramafic and (or) mafic intrusion,U-M intrusion Ni-Cu-PGE,"Cu, Co, Ni",3,VNM
IOCG,Hematite-dominant IOCG,"Cu, Fe",3,USA
Laterite,Carbonatite laterite REE,"Cu, Fe, REE, Zr, U, P",15,ZAF
Breccia pipe,Breccia pipe Cu,"Cu, Mo",2,CHL
Epithermal,HS epithermal Ag-Au ± Cu,"Cu, Mo",14,USA
Porphyry,Low-F porphyry Mo,"Cu, Mo",5,USA
Porphyry,Porphyry Cu ± Au,"Cu, Mo",5,CHL
Porphyry,Porphyry Cu-Mo,"Cu, Mo",7575,USA
Porphyry,Porphyry copper-molybdenum,"Cu, Mo",64,USA
Replacement,Replacement Zn-Pb,"Cu, Mo",10,USA
Skarn,Skarn Cu,"Cu, Mo",3,USA
Vein,Vein polymetallic,"Cu, Mo",1,USA
Porphyry,Porphyry Cu-Mo,"Cu, Mo, Ag, Au",6,PER
Porphyry,Porphyry Cu-Mo,"Cu, Mo, Au",146,USA
Vein,Vein ± replacement Ni,"Cu, Ni",6,ZMB
Komatiite,Komatiite Ni-Cu-PGE,"Cu, Ni, PGE, Co",3,AUS
Replacement,Replacement Cu,"Cu, Pb",1,USA
Sediment-hosted,Kipushi-type sediment-hosted Cu-Zn-Pb,"Cu, Pb",5,"NAM, PER"
unknown,unknown,"Cu, Pb",1,USA
Replacement,Replacement Cu,"Cu, Pb, Mn",1,USA
Volcanogenic massive sulfide (VMS),Felsic-siliciclastic VMS,"Cu, Pb, S, Zn",3,JPN
Replacement,Replacement Cu,"Cu, Pb, Zn",2,USA
Replacement,Replacement polymetallic,"Cu, Pb, Zn",3,USA
Skarn,Skarn Cu,"Cu, Pb, Zn",1,USA
Vein,Vein polymetallic,"Cu, Pb, Zn",7,JPN
Volcanogenic massive sulfide (VMS),Bimodal-felsic VMS,"Cu, Pb, Zn",3,USA
Epithermal,HS epithermal Ag-Au ± Cu,"Cu, S, Zn",1,PER
Volcanogenic massive sulfide (VMS),Mafic-ultramafic VMS,"Cu, S, Zn",3,"NOR, PER"
Volcanogenic massive sulfide (VMS),Felsic-siliciclastic VMS,"Cu, Sn, Ag, Pb, Zn",15,PRT
Collapse breccia pipe,Collapse breccia pipe uranium,"Cu, U",1,USA
Replacement,Replacement Cu,"Cu, Zn",7,USA
Skarn,Skarn Cu,"Cu, Zn",1,USA
Skarn,Skarn Zn-Pb-Ag,"Cu, Zn",1,USA
Volcanogenic massive sulfide (VMS),Bimodal-felsic VMS,"Cu, Zn",5,AUS
Volcanogenic massive sulfide (VMS),Bimodal-mafic VMS,"Cu, Zn",21,AUS
Volcanogenic massive sulfide (VMS),Felsic-siliciclastic VMS,"Cu, Zn",1,USA
Volcanogenic massive sulfide (VMS),Bimodal-mafic VMS,"Cu, Zn, Ag",10,AUS
Porphyry,Porphyry Cu ± Au,"Cu, Zn, Au",3,MNG
Volcanogenic massive sulfide (VMS),Bimodal-mafic VMS,"Cu, Zn, Au, Ag",9,AUS
Volcanogenic massive sulfide (VMS),Bimodal-felsic VMS,"Cu, Zn, Au, Ag, Pb",3,CHN
Volcanogenic massive sulfide (VMS),Felsic-siliciclastic VMS,"Cu, Zn, Au, Ag, Pb",6,ESP
Orogenic,Orogenic Cu ± Au,"Cu, Zn, Pb",1,AUS
Volcanogenic massive sulfide (VMS),Bimodal-mafic VMS,"Cu, Zn, Pb",3,AUS
Kimberlite,Kimberlite diamond,Dmd,36,AUS
Kimberlite,Kimberlite diamond,"Dmd, Dmdi, Dmdg",39,AUS
Pegmatite,NYF pegmatite,"F, Toz",9,AUS
IOA,Hematite-dominant IOA,Fe,4,USA
IOA,Magnetite-dominant IOA,Fe,315,"CHL, USA"
IOCG,Hematite-dominant IOCG,Fe,6,USA
Iron formation,Superior-type banded iron formation,Fe,12,"AUS, BRA"
Metasomatic iron,Skarn Fe,Fe,1,USA
Skarn,Skarn Fe,Fe,9,"ITA, JPN"
Volcanogenic,Algoma-type banded iron formation,Fe,30,"AUS, BRA, USA"
unknown,unknown,Fe,1,AUS
IOA,Magnetite-dominant IOA,"Fe, Cu",3,"CHN, MEX"
IOCG,Magnetite-dominant IOCG,"Fe, Cu",44,"CHN, MEX, USA"
Skarn,Skarn Fe,"Fe, Cu, Co",2,USA
IOCG,Magnetite-dominant IOCG,"Fe, Cu, REE, Au",9,VNM
Epithermal,HS epithermal Ag-Au ± Cu,"Fe, F",3,ZAF
Volcanogenic,Algoma-type banded iron formation,"Fe, FeOre",12,AUS
Replacement,Replacement manganese,"Fe, Mn",2,USA
Peralkaline igneous,Peralkaline igneous HFSE-REE,"Fe, Ti, V",10,USA
IOCG,Hematite-dominant IOCG,"Fe, U, Au, Co, Ag, Cu",2,AUS
Iron formation,Oolitic iron formation,FeOre,1,AUS
Volcanogenic,Algoma-type banded iron formation,FeOre,12,AUS
unknown,unknown,FeOre,1,AUS
IOCG,Magnetite-dominant IOCG,"FeOre, Fe",1,AUS
Iron formation,Superior-type banded iron formation,"FeOre, Fe",3,AUS
Volcanogenic,Algoma-type banded iron formation,"FeOre, Fe",6,AUS
unknown,unknown,Fl,3,AUS
Replacement,Replacement polymetallic,"Fl, Ag",1,MEX
Supergene,Supergene Cu,Gp,1,USA
Epithermal,Epithermal mercury,Hg,30,USA
Carlin-type,Carlin-type Au,"Hg, Ag, Au",3,USA
Carlin-type,Carlin-type Au,"Hg, Au",21,USA
Clay,Lacustrine clay lithium,Li,24,USA
Pegmatite,LCT pegmatite,"Li, Cs, Kln, Sn, Rb",6,ZWE
Pegmatite,LCT pegmatite,"Li2O, Li, Sn, Ta",23,AUS
Pegmatite,LCT pegmatite,"Li2O, Ta, Li, Nb, Sn",6,AUS
Pegmatite,LCT pegmatite,"Li2O, Ta2O5, SnO2, Nb, GS, Ta, Li, Sn",44,AUS
unknown,unknown,Mg,3,AUT
Manganese,Sedimentary Mn,"Mn, MnOre",5,AUS
Greisen,"Greisen Sn ± W, Mo",Mo,1,AUS
Porphyry,Climax-type porphryry Mo,Mo,4,USA
Porphyry,Climax-type porphyry Mo,Mo,27,"AUS, CHN, USA"
Replacement,Replacement polymetallic,Mo,2,USA
Vein,Vein polymetallic,Mo,35,USA
Greisen,"Greisen Sn ± W, Mo","Mo, Au, Ag",6,DEU
Greisen,"Greisen Sn ± W, Mo","Mo, Au, Cu, Ag",2,AUS
Porphyry,Porphyry Cu-Mo,"Mo, Cu",19,USA
Skarn,Skarn Cu,"Mo, Cu",3,USA
Porphyry,Porphyry Cu-Mo,"Mo, Cu, Ag",1,USA
Greisen,Greisen W-Mo ± Bi,"Mo, Cu, W",6,AUS
Greisen,Greisen W-Mo ± Bi,"Mo, W",6,RUS
Skarn,Skarn W ± Mo,"Mo, WO3, W",6,AUS
Carbonatite,Carbonatite niobium,Nb,4,USA
Pegmatite,LCT pegmatite,"Nb, Kln, Ta2O5, Li2O, Nb2O5",15,AUS
Komatiite,Komatiite Ni-Cu-PGE,Ni,172,AUS
Metasomatic iron,Iron oxide polymetallic,Ni,1,USA
Ultramafic and (or) mafic-layered intrusion,U-M layered intrusion Fe-Ti-V,"Ni, Au, Cu, Co",2,AUS
Ultramafic and (or) mafic conduit,U-M conduit Ni-Cu-PGE,"Ni, Au, PGE, Cu",3,RUS
Ultramafic and (or) mafic intrusion,U-M intrusion Ni-Cu-PGE,"Ni, Au, PGE, Cu",9,FIN
Komatiite,Komatiite Ni-Cu-PGE,"Ni, Co",27,AUS
Laterite,Lateritic Ni,"Ni, Co",1,AUS
Orogenic,Mesozonal orogenic Au,"Ni, Co, Au",3,AUS
Ultramafic and (or) mafic-layered intrusion,U-M layered intrusion Cr,"Ni, Co, Cr",3,AUS
Komatiite,Komatiite Ni-Cu-PGE,"Ni, Co, Cu",9,"AUS, ZWE"
Ultramafic and (or) mafic-layered intrusion,U-M layered intrusion Fe-Ti-V,"Ni, Co, Cu",2,AUS
Laterite,Laterite Ni,"Ni, Co, Fe",1,AUS
