Commodity,Deposit Type,Count,Countries
Barite; Rare-Earth Elements,"Vein, cavity-fill, metasomatic; Carbonatite",1,United States of America
Barite-lead-zinc,Sedimentary,1,Pakistan
Barium,Hydrothermal,1,Italy
Barium,Sedimentary,3,"Georgia, Kazakhstan"
Bentonite,Hydrothermal,2,"Germany, Greece"
Bentonite,Sedimentary,2,"Hungary, Uzbekistan"
beryllium,Hydrothermal,1,United States
Beryllium,Be Type Rare-Metal Pegmatite,3,"Brazil, Canada"
Beryllium,Carbonate-hosted Be,3,United States of America
Beryllium,Carbonate-hosted epithermal Be,1,United States of America
Beryllium,Deposit type unclassified,1,Canada
Beryllium,Felsic and intermediate intrusion-associated; Non-pegmatite,2,"Australia, Czech Republic"
Beryllium,Non-pegmatite,96,"Algeria, Argentina, Australia, Austria, Belarus, Brazil, Canada, China, Colombia, Egypt, England, Finland, Germany, Greenland, Kazakhstan, Madagascar, Mongolia, Mozambique, Niger, Nigeria, Norway, Pakistan, Peru, Portugal, Russia, Saudi Arabia, Spain, Sri Lanka, Switzerland, Thailand, Ukraine, United States of America, Zambia, Zimbabwe"
Beryllium,Non-pegmatite; Felsic and intermediate intrusion-associated,1,Germany
Beryllium,Pegmatite,160,"Australia, Austria, Brazil, Bulgaria, Canada, China, Czech Republic, Finland, Germany, India, Italy, Japan, Kazakhstan, Madagascar, Mongolia, Namibia, Nigeria, Norway, Pakistan, Poland, Russia, South Africa, Spain, Sri Lanka, Sweden, Tajikistan, Ukraine, United States of America, Zimbabwe"
Beryllium,Pegmatite/granite Be,1,United States of America
Beryllium,Peralkaline intrusion Be,2,"Canada, Greenland"
Beryllium,Rare-metal pegmatite,1,Madagascar
Beryllium,Skarn and Greisen-Hosted Be-F,5,"Kazakhstan, Russia, United States of America"
Beryllium,Veins,2,United States of America
Beryllium,Volcanogenic-hosted Be,2,"Australia, United States of America"
Beryllium; Fluorite,Volcanogenic-hosted Be; Peralkaline to Alkaline-Intrusion-Related F,1,United States of America
Beryllium; Gallium,Pegmatite; Ga in Clastic-dominated Pb-Zn,1,United States of America
Beryllium; Lithium,Non-pegmatite; Li-Cs-Ta type pegmatite,1,United States of America
Beryllium; Lithium,Pegmatite,7,"Australia, China, Sweden, United States of America"
Beryllium; Lithium; Niobium and Tantalum,Pegmatite; Li-Cs-Ta type pegmatite,1,Australia
Beryllium; Lithium; Niobium and Tantalum; Tin,Pegmatite; Li-Cs-Ta type pegmatite; Hydrothermal,1,Australia
Beryllium; Lithium; Tellurium,Be Type Rare-Metal Pegmatite; Te in Epithermal Au-Ag,1,United States of America
Beryllium; Niobium and Tantalum,Non-pegmatite; Alkaline granite and syenite,1,Greenland
Beryllium; Niobium and Tantalum,Pegmatite; Lithium-Cesium-Tantalum type pegmatite,1,Australia
Beryllium; Niobium and Tantalum; Rare-Earth Elements,Peralkaline intrusion Be,2,Canada
Beryllium; Tin,Non-pegmatite; Hydrothermal,1,Australia
Beryllium; Tin; Lithium,Pegmatite; Hydrothermal,1,Zimbabwe
Beryllium; Titanium,Non-pegmatite; Sedimentary related,1,South Africa
"Beryllium-niobium,tin",Igneous,1,Afghanistan
Beryllium-tantalum,Igneous,1,China
Boron,Hydrothermal,1,Russia
Boron,Sedimentary,10,"Argentina, China, Kazakhstan, Turkey"
boron,Sedimentary,5,United States
Boron-lithium-potassium,Sedimentary,1,China
Bromine,Sedimentary,1,Ukraine
bromine,Sedimentary,1,United States
"Bromine, Soda ash",Sedimentary,2,Ethiopia
Chromium,Igneous,84,"Afghanistan, Albania, Egypt, Finland, India, Iran, Kalaallit Nunaat (Greenland), Kazakhstan, Madagascar, Pakistan, Philippines, South Africa, Togo, Turkey, Uganda, Zimbabwe"
"Chromium, Asbestos, Magnesium",Igneous,2,Sudan
"Chromium, Nickel",Igneous,1,Kenya
"Chromium, Nickel, PGE, Gold",Igneous,1,Zimbabwe
"Chromium, PGE",Igneous,1,South Africa
"Chromium, PGE, Iron, Silver",Igneous,7,South Africa
"Chromium, PGE, Nickel, Copper, Gold",Igneous,1,South Africa
"Chromium, PGE, Nickel, Gold",Igneous,1,South Africa
Chromium-platinum,Igneous,1,Pakistan
Clay,Surficial,5,"Algeria, Botswana, Egypt, Tanzania"
Clay (Bentonite),Surficial,3,"Algeria, Egypt"
Clay (bentonite),Sedimentary,5,"Australia, China"
Clay (bentonite),Unclassified,3,"Australia, China"
Clay (Kaolin),Surficial,6,"Algeria, Egypt, Libya"
Clay (kaolin),Surficial,4,"Australia, China"
"coal, clay",Sedimentary,1,China
Cobalt,Hydrothermal,1,Morocco
Cobalt,Co in Fe-Cu-Co skarn,2,"Russia, United States of America"
Cobalt,Iron oxide-Cu-Au(Ag-U-REE-Co-Ni),7,"Australia, China, Mauritania"
Cobalt,Magmatic Ni-Cu(-Co-PGE) sulfide,31,"Australia, Brazil, Canada, Finland, Norway, Russia, South Africa, United States of America, Zambia"
Cobalt,Metasedimentary-rock-hosted Co-Cu-Au,8,"Canada, Finland, Norway, United States of America"
Cobalt,Ni-Co laterite,77,"Australia, Brazil, Burundi, Cameroon, Cuba, Côte d’Ivoire, Guatemala, India, Indonesia, Kazakhstan, Kosovo, Macedonia, Madagascar, Malaysia, New Caledonia, Papua New Guinea, Philippines, Puerto Rico, Russia, Serbia, Solomon Islands, Tanzania, Turkey"
Cobalt,Polymetallic (Ag-Ni-Co-As-Bi),3,"Canada, Morocco, Russia"
Cobalt,Sea-floor Fe-Mn(-Co-Mo-REE) crusts,6,"Atlantic Ocean, Indian Ocean, Pacific Ocean"
Cobalt,Sea-floor Fe-Mn(-Ni-Cu-Co-Mo) nodules,2,"Indian Ocean, Pacific Ocean"
Cobalt,Stratiform sediment-hosted Cu-Co,46,"Australia, China, Democratic Republic of the Congo, Mexico, Uganda, United States of America, Zambia"
Cobalt,Volcanogenic Cu(-Zn-Co-Ag-Au) massive sulfide,14,"Canada, China, Finland, Russia, Turkey"
"Cobalt, Nickel",Hydrothermal,1,Morocco
Cobalt; Gallium,Black-Shale-Hosted Ni-Cu-Zn-Co; Ga in Clastic-dominated Pb-Zn,1,Finland
Cobalt; Gallium,Co in Fe-Cu-Co skarn; Ga in Kuroko Massive Sulfide,1,Russia
Cobalt; Gallium,Volcanogenic Cu(-Zn-Co-Ag-Au) massive sulfide,1,United States of America
Cobalt; Manganese,Sea-floor Fe-Mn(-Co-Mo-REE) crusts,1,Pacific Ocean
Cobalt; Manganese,Sea-floor Fe-Mn(-Ni-Cu-Co-Mo) nodules and crusts,1,Pacific Ocean
Cobalt; Platinum-Group Elements,Magmatic Ni-Cu(-Co-PGE) sulfide; Atypical; pipe-like ore bodies,1,Finland
Cobalt; Platinum-Group Elements,Magmatic Ni-Cu(-Co-PGE) sulfide; Conduit,4,"Canada, China, Tanzania"
Cobalt; Platinum-Group Elements,Magmatic Ni-Cu(-Co-PGE) sulfide; Sudbury,1,Canada
Cobalt; Platinum-Group Elements,Magmatic Ni-Cu(-Co-PGE) sulfide; Synorogenic,2,"Finland, Spain"
Cobalt; Platinum-Group Elements; Tellurium,Magmatic Ni-Cu(-Co-PGE) sulfide; Conduit,1,Russia
Cobalt; Tellurium,Iron oxide-Cu-Au(Ag-U-REE-Co-Ni),1,Australia
Columbium (Niobium),Igneous,5,"Congo (Kinshasa), Nigeria, Somalia, Tanzania"
"Columbium (Niobium), Manganese",Igneous,1,Malawi
"Columbium (Niobium), Phosphate",Igneous,1,Congo (Kinshasa)
"Columbium (Niobium), Phosphate, Zirconium, REE",Igneous,1,Gabon
"Columbium (Niobium), REE,",Igneous,1,Kenya
"Columbium (Niobium), Tantalum",Igneous,2,Egypt
"Columbium (Niobium), Tantalum, Lithium",Igneous,1,South Africa
"Columbium (Niobium), Tantalum, REE",Igneous,1,Saudi Arabia
"Columbium (Niobium), Tin, Tungsten",Igneous,1,Rwanda
"Columbium, phosphate, titanium, rare earths",Igneous,1,Brazil
"Columbium, rare earths",Igneous,1,Brazil
"Columbium, rare earths, beryllium",Igneous,1,Brazil
Copper,Hydrothermal,118,"Albania, Algeria, Angola, Argentina, Australia, Botswana, Brazil, Bulgaria, Canada, Chile, China, Colombia, Congo (Kinshasa), Ecuador, Egypt, Ethiopia, Finland, Germany, Greece, Hungary, India, Iran, Israel, Japan, Jordan, Kazakhstan, Macedonia, Mexico, Mongolia, Morocco, Namibia, Norway, Oman, Panama, Peru, Poland, Portugal, Romania, Russia, Saudi Arabia, Serbia and Montenegro, South Africa, Spain, Sudan, Sweden, Turkey, Uganda, Zambia, Zimbabwe"
Copper,Igneous,29,"Armenia, Georgia, Kazakhstan, Mongolia, Russia, Uzbekistan"
Copper,Metamorphic,1,China
Copper,Sedimentary,87,"Afghanistan, Argentina, Bolivia, Brazil, Chile, China, Kalaallit Nunaat (Greenland), Kazakhstan, Poland, Russia, Tajikistan, Ukraine"
copper,Hydrothermal,21,United States
copper,Igneous,1,United States
"Copper, Cobalt",Hydrothermal,17,"Congo (Kinshasa), Uganda, Zambia"
"copper, cobalt",Hydrothermal,3,United States
"Copper, cobalt, gold",Hydrothermal,1,Canada
"Copper, Cobalt, Gold, PGE, Vanadium",Hydrothermal,1,Congo (Kinshasa)
"Copper, Cobalt, Uranium",Hydrothermal,1,Congo (Kinshasa)
"Copper, Cobalt, Zinc",Hydrothermal,1,Congo (Kinshasa)
"Copper, cobalt, zinc",Hydrothermal,1,Mexico
"Copper, Gold",Hydrothermal,6,"Mauritania, Namibia, Turkey, Zambia"
"Copper, gold",Hydrothermal,29,"Argentina, Brazil, Canada, Chile, Mexico, Peru"
"copper, gold",Hydrothermal,7,United States
"Copper, gold, molybdenum",Hydrothermal,3,Canada
"Copper, gold, silver",Hydrothermal,1,Canada
"Copper, Gold, Silver, Sulfur, PGE",Hydrothermal,1,South Africa
"Copper, Iron",Hydrothermal,3,"Algeria, Zambia"
"Copper, Lead",Hydrothermal,2,"Algeria, Namibia"
"Copper, lead",Sedimentary,1,Argentina
"Copper, Lead, Zinc",Hydrothermal,1,Ethiopia
"Copper, Lead, Zinc, Silver",Hydrothermal,1,Namibia
"Copper, molybdenum",Hydrothermal,23,"Argentina, Canada, Chile, Colombia, Ecuador, Mexico, Panama, Peru, Puerto Rico"
"Copper, molybdenum, gold",Hydrothermal,2,Canada
"Copper, Molybdenum, Silver, Gold",Hydrothermal,1,Iran
"copper, molybdenum, silver, gold",Hydrothermal,14,United States
"Copper, Nickel",Unclassified,1,Tanzania
"copper, nickel, PGE",Igneous,3,United States
"Copper, PGE",Hydrothermal,1,South Africa
"Copper, PGE, Gold",Hydrothermal,1,South Africa
"Copper, Silver",Hydrothermal,5,"Mozambique, Namibia, Zambia, Zimbabwe"
"copper, silver",Hydrothermal,8,United States
"Copper, Silver, Gold",Hydrothermal,2,"Zambia, Zimbabwe"
"copper, silver, gold",Hydrothermal,4,United States
"copper, silver, zinc, gold, lead",Hydrothermal,1,United States
"Copper, Sulfur",Hydrothermal,1,Morocco
"Copper, Zinc",Hydrothermal,2,"Algeria, Egypt"
"Copper, zinc",Hydrothermal,3,"Mexico, Peru"
"Copper, Zinc, Lead",Hydrothermal,1,Egypt
"Copper, Zinc, Lead, Silver",Hydrothermal,1,Congo (Kinshasa)
"Copper, zinc, silver",Hydrothermal,1,Canada
"Copper, Zinc, Sulfur, Lead",Hydrothermal,1,South Africa
"Copper, Zinc, Sulfur, PGE, Gold",Hydrothermal,1,Namibia
Copper-gold,Hydrothermal,6,"Australia, Indonesia, Pakistan, Philippines"
Copper-gold,Metamorphic,1,Mongolia
Copper-gold,Unclassified,1,Vietnam
Copper-gold-molybdenum,Hydrothermal,3,"Fiji, Pakistan"
Copper-gold-silver,Hydrothermal,1,Japan
Copper-gold-silver,Sedimentary,2,China
Copper-lead-zinc,Hydrothermal,1,Japan
Copper-lead-zinc,Metamorphic,1,China
Copper-lead-zinc-silver,Hydrothermal,1,China
Copper-lead-zinc-silver,Sedimentary,1,China
Copper-molybdenum,Hydrothermal,12,"Australia, China, Indonesia, Mongolia, Papua New Guinea"
Copper-molybdenum-gold,Hydrothermal,5,"Afghanistan, China, Papua New Guinea"
Copper-molybdenum-gold,Metamorphic,1,China
Copper-nickel,Igneous,1,China
Copper-silver-gold,Hydrothermal,19,"Burma, China, India, Indonesia, Malaysia, Papua New Guinea, Philippines"
Copper-sulfur,Hydrothermal,1,Philippines
"Copper-uranium,lead",Unclassified,1,Australia
Copper-zinc-lead-silver,Hydrothermal,1,Japan
Copper-zinc-lead-silver,Sedimentary,1,Australia
Corundum,Gemstone,1,Cambodia
Cryolite,Igneous,1,Kalaallit Nunaat (Greenland)
Diamond,Igneous,36,"Angola, Australia, Botswana, Congo (Kinshasa), India, Lesotho, Russia, Sierra Leone, South Africa, Tanzania, Zimbabwe"
Diamond,Surficial,13,"Central African Republic, China, Congo (Kinshasa), Côte DIvoire, Sierra Leone, South Africa"
Diamond,Unclassified,3,"Angola, Ghana"
"Diamond, Gold",Surficial,2,"Ghana, Sierra Leone"
Diatomite,Sedimentary,7,"Costa Rica, Czech Republic, France, Georgia, Guatemala, Iceland, Slovakia"
diatomite,Sedimentary,6,United States
Dolomite,Sedimentary,2,"Norway, Slovakia?"
Emerald,Gemstone,2,"Afghanistan, Pakistan"
Feldspar,Igneous,7,"Czech Republic, France, Italy, Portugal, Russia, Sweden"
"feldspar, mica, kaolin. niobium, tantalum",Surficial,1,United States
Fluorine,Hydrothermal,5,"France, Germany, Italy"
Fluorine,Igneous,3,"Kazakhstan, Russia, United Kingdom"
Fluorite,Hydrothermal,7,"Mexico, Mongolia"
Fluorite,Sedimentary,1,Mongolia
Fluorite,Unclassified,1,Mongolia
fluorite,Hydrothermal,2,Mongolia
Fluorite,Alkaline-Volcanic-Related Epithermal F,10,"Mongolia, United States of America"
Fluorite,"Alkaline-intrusion-related veins, skarns, and carbonate replacements",1,Brazil
Fluorite,"Alkaline-volcanic-related epithermal veins, breccia-fills, and carbonate replacements",2,"Kenya, United States of America"
Fluorite,"Apparently conformable in tuffaceous, limy lacustrine sediments",1,Italy
Fluorite,Carbonatite-Related F,10,"Australia, Brazil, Canada, India, Mongolia, Mozambique, Namibia, Russia, Turkey"
Fluorite,Carbonatite-related F,1,Russia
Fluorite,Deposit type unclassified,18,"China, Italy, Mexico, Mozambique, South Africa, Spain, Sudan, Tajikistan, Thailand, United States of America, Uzbekistan"
Fluorite,Mississippi Valley-type F,5,"China, Pakistan, South Africa, United Kingdom"
Fluorite,Peralkaline to Alkaline-Intrusion-Related F,7,"Canada, China, Morocco, Russia, United States of America"
Fluorite,"Related to volcanics of ""normal evolution""",11,"China, Mexico, Russia"
Fluorite,Salt-Related Carbonate-Hosted F,11,"France, Italy, Mexico, Spain, Tunisia"
Fluorite,"Skarns, greisens, veins, and replacements related to strongly differentiated granites",2,"Kazakhstan, United States of America"
Fluorite,Subalkaline-Volcanic-Related Epithermal F,1,Thailand
Fluorite,Subalkaline-volcanic-related epithermal veins and replacements,2,"Russia, United States of America"
Fluorite,Tin granite,3,"China, Hungary, South Africa"
Fluorite,Tin-granite-related,7,"China, Kazakhstan, Morocco, Russia, South Africa, Vietnam"
Fluorite,Tin-granite-related; Felsic and intermediate intrusion-associated,2,"China, Russia"
Fluorite,Tuffaceous Limy Lacustrine Sediment-hosted F,3,"Italy, United States of America"
Fluorite,"Volcanics of ""normal"" evolution",1,Argentina
Fluorite; Barite,Mississippi Valley-type F; Residual,1,United States of America
Fluorite; Beryllium,Alkaline-Volcanic-Related Epithermal F; Carbonate-hosted Be,1,Mexico
Fluorite; Beryllium,Carbonatite-Related F; Pegmatite,1,United States of America
Fluorite; Beryllium,Tin-granite-related; Non-pegmatite,1,Australia
Fluorite; Beryllium; Tin,Skarn and Greisen-Hosted Be-F,1,United States of America
Fluorite; Gallium,Mississippi Valley-type,1,United States of America
Fluorite-phosphorus,Igneous,1,India
Fluorspar,Hydrothermal,18,"Kenya, Morocco, Namibia, South Africa, Tunisia"
"Fluorspar, Barite, Manganese",Hydrothermal,1,Morocco
"Fluorspar, Iron",Hydrothermal,2,"Kenya, South Africa"
"Fluorspar, Lead, Zinc",Hydrothermal,1,South Africa
"Fluorspar, Phosphate, Barite",Hydrothermal,1,Namibia
"Fluorspar, REE",Igneous,1,South Africa
Gallium,Ga in Bauxite,181,"Australia, Brazil, Bulgaria, Cameroon, China, French Guyana, Germany, Ghana, Greece, Guinea, Guinea-Bissau, Hungary, India, Indonesia, Jamaica, Kazakhstan, Romania, Russia, Serbia, Suriname, Turkey, Uganda, Ukraine, United States of America, Uzbekistan, Vietnam"
Gallium,Ga in Clastic-dominated Pb-Zn,62,"Australia, Azerbaijan, Brazil, Canada, China, Cuba, Greenland, India, Iran, Kazakhstan, Namibia, Norway, Pakistan, Portugal, Russia, Serbia, South Africa, Spain, Sweden, United States of America"
Gallium,Ga in Clastic-dominated Pb-Zn; Mississippi Valley-type,2,Ireland
Gallium,Ga in Kipushi Cu-Zn,1,United States of America
Gallium,Ga in Mississippi Valley-type,70,"Australia, Austria, Belgium, Canada, China, France, Ireland, Italy, Mexico, Morocco, Poland, Russia, Slovenia, South Africa, Spain, Thailand, United States of America"
Gallium,Ga in Mississippi Valley-type Pb-Zn,1,Ireland
Gallium,Ga in Mississippi Valley-type; Clastic-dominated,1,Iran
Gallium,"Ga in Volcanogenic Massive Sulfide, Cypress type",7,"Canada, Cyprus, Norway, United States of America"
Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",104,"Australia, Canada, Finland, Great Britain, Japan, Kazakhstan, Norway, Philippines, Portugal, Russia, Spain, Sweden, United States of America"
Gallium; Barite,Ga in Clastic-dominated Pb-Zn; Bedded-sedimentary,1,Germany
Gallium; Barite,"Ga in Mississippi Valley-type; Vein, cavity-fill, metasomatic",1,United States of America
Gallium; Cobalt,Ga and Co in Clastic-dominated Pb-Zn,1,Australia
Gallium; Germanium,Ga and Ge in Kipushi Zn-Pb-Cu,1,Democratic Republic of the Congo
Gallium; Germanium,Ga and Ge in Mississippi Valley-type,2,"China, United States of America"
Gallium; Germanium,Ga in Clastic-dominated Pb-Zn; Ge in Kipushi Zn-Pb-Cu,1,Zambia
Gallium; Germanium,Ga in Clastic-dominated Pb-Zn; Irish-type,1,Ireland
Gallium; Germanium,Ga in Clastic-dominated Pb-Zn; Mississippi Valley-type; Sedimentary exhalative Pb-Zn,1,Ireland
Gallium; Germanium,Ga in Mississippi Valley-type; Sedimentary-exhalative Pb-Zn,1,China
Gallium; Germanium; Indium,Ga and Ge in Kipushi Cu-Zn,1,United States of America
Gallium; Indium; Germanium,"Ga, Ge, and In in Clastic-dominated Sedimentary exhalative Pb-Zn",2,China
Gallium; Indium; Germanium,"Ga, Ge, and In in Volcanogenic Massive Sulfide, Kuroko type",1,China
garnet,Metamorphic,2,United States
garnet,Surficial,2,United States
Gem,Gemstone,3,Sri Lanka
Gem,Igneous,3,Egypt
"Gem (aquamarine, amethyst)",Igneous,1,Zambia
"Gem (beryl, aquamarine), Tantalum, Columbium (Niobium), Titanium",Igneous,1,Mozambique
Gem (emerald),Igneous,1,Zambia
"Gem (ruby, sapphire)",Igneous,1,Malawi
Gem (sapphire),Igneous,1,Kenya
"Gem (tourmaline, garnet, aquamarine, topaz), Lithium, Tantalum",Igneous,1,Namibia
Gem amethyst,Hydrothermal,2,"Brazil, Uruguay"
Gem beryl,Igneous,1,Brazil
Gem diamond,Igneous,3,Canada
Gem emerald,Hydrothermal,5,"Brazil, Colombia"
Gem jade,Metamorphic,1,Canada
Gem topaz,Hydrothermal,1,Brazil
"Gem, Graphite",Igneous,1,Tanzania
Germanium,Coal and Lignite,1,China
Germanium,Mississippi Valley-type,4,United States of America
Germanium,Sedimentary exhalative Pb-Zn,3,United States of America
Germanium,Skarn,2,China
Germanium; Gallium,Sandstone-hosted; Ga in Clastic-dominated Pb-Zn,1,China
Gold,Hydrothermal,148,"Argentina, Armenia, Australia, Botswana, Brazil, Bulgaria, Burkina Faso, Canada, Chile, China, Côte DIvoire, Egypt, Ethiopia, Fiji, Finland, France, Georgia, Ghana, Greece, Guinea, Guyana, India, Indonesia, Iran, Italy, Japan, Kalaallit Nunaat (Greenland), Kazakhstan, Kyrgyzstan, Mali, Mauritania, Mexico, Mongolia, Namibia, New Zealand, Niger, Peru, Russia, Saudi Arabia, Senegal, Slovakia, South Africa, Spain, Sweden, Tajikistan, Tanzania, Turkey, Ukraine, Uzbekistan, Zimbabwe"
Gold,Igneous,32,"China, Kalaallit Nunaat (Greenland), Kazakhstan, Kyrgyzstan, Mongolia, Russia, Tajikistan, Uzbekistan"
Gold,Metamorphic,1,Russia
Gold,Sedimentary,3,"China, Russia"
Gold,Surficial,47,"Afghanistan, Australia, China, Côte DIvoire, Ethiopia, Ghana, Guinea, Mongolia, Russia, South Africa, Tajikistan"
Gold,Unclassified,12,"Congo (Kinshasa), Egypt, Kenya, South Africa, Zimbabwe"
gold,Hydrothermal,9,United States
gold,Surficial,11,United States
gold,Unclassified,1,United States
"Gold, Antimony",Hydrothermal,1,Zimbabwe
"Gold, Antimony, PGE, Silver",Hydrothermal,1,South Africa
"Gold, Copper",Hydrothermal,8,"Egypt, Saudi Arabia, Sudan, Zimbabwe"
"Gold, copper",Hydrothermal,5,"Chile, Ecuador, Mexico, Peru"
"gold, copper",Unclassified,1,United States
"Gold, Copper, Silver",Hydrothermal,3,"Egypt, Zimbabwe"
"Gold, copper, silver, zinc, selenium, tellurium",Hydrothermal,1,Canada
"Gold, Copper, Zinc, Lead, Silver",Hydrothermal,1,Sudan
"Gold, Diamond, Iron",Surficial,1,Senegal
"Gold, Iron",Hydrothermal,1,Zimbabwe
"Gold, Molybdenum",Hydrothermal,1,Tanzania
"Gold, molybdenum, silver",Hydrothermal,1,Canada
"Gold, palladium",Surficial,1,Brazil
"Gold, PGE",Surficial,12,"Liberia, South Africa"
"Gold, PGE,",Surficial,1,South Africa
"Gold, PGE, Silver",Hydrothermal,3,South Africa
"Gold, PGE, Silver",Surficial,29,South Africa
"Gold, PGE, Silver, Chromium, Nickel, Iron,",Surficial,1,Ethiopia
"Gold, platinum",Surficial,1,Colombia
"Gold, Silver",Hydrothermal,8,"Egypt, Ethiopia, Ghana, Zimbabwe"
"Gold, Silver",Surficial,1,Tanzania
"Gold, Silver",Unclassified,1,Egypt
"Gold, silver",Hydrothermal,8,"Argentina, Bolivia, Chile, Dominican Republic, Ecuador, Mexico, Peru"
"Gold, silver",Sedimentary,1,Brazil
"gold, silver",Hydrothermal,35,United States
"Gold, Silver, Copper",Hydrothermal,4,"Egypt, Morocco, Zambia"
"Gold, silver, copper",Hydrothermal,1,Canada
"Gold, Silver, Copper, Antimony",Hydrothermal,1,Burkina Faso
"Gold, silver, copper, zinc",Hydrothermal,1,Canada
"Gold, silver, lead, zinc, copper",Hydrothermal,1,Mexico
"Gold, Silver, PGE",Surficial,1,South Africa
"Gold, Silver, Uranium",Surficial,2,South Africa
"Gold, silver, zinc",Hydrothermal,1,Mexico
"Gold, Silver, Zinc, Copper",Hydrothermal,2,Saudi Arabia
"Gold, silver, zinc, lead",Hydrothermal,1,Mexico
"gold, silver, zinc, lead",Hydrothermal,1,United States
"gold, silver, zinc, lead, copper",Hydrothermal,1,United States
"Gold, Sulfur",Hydrothermal,1,Zimbabwe
"Gold, Sulfur",Surficial,2,South Africa
"Gold, Sulfur, PGE",Surficial,1,South Africa
"Gold, Sulfur, PGE, Silver",Hydrothermal,1,South Africa
"Gold, Sulfur, PGE, Silver",Surficial,1,South Africa
"Gold, Tungsten",Hydrothermal,2,Zimbabwe
"Gold, Tungsten, Copper",Hydrothermal,1,Zimbabwe
"Gold, Uranium",Surficial,3,South Africa
"Gold, Uranium, PGE, Silver",Surficial,10,South Africa
"Gold, Uranium, PGE, Silver, Sulfur",Surficial,2,South Africa
"Gold, Uranium, Silver",Surficial,1,South Africa
"Gold, Uranium, Silver, Sulfur",Surficial,1,South Africa
"Gold, Uranium, Silver, Sulfur, PGE",Surficial,1,South Africa
"Gold, Uranium, Sulfur, PGE",Surficial,1,South Africa
"Gold, Uranium, Sulfur, PGE, Silver",Surficial,1,South Africa
"Gold, zinc, lead, copper",Hydrothermal,1,Mexico
Gold-antimony,Sedimentary,1,China
Gold-arsenic-mercury,Sedimentary,1,China
Gold-copper,Hydrothermal,1,Philippines
Gold-copper-lead,Metamorphic,2,China
Gold-mercury,Sedimentary,3,China
Gold-silver,Hydrothermal,9,"China, Japan, Papua New Guinea, Philippines"
Gold-silver,Sedimentary,1,China
Gold-silver-lead,Igneous,1,Mongolia
Gold-tungsten,Sedimentary,1,China
Gold-tungsten,Surficial,1,New Zealand
Gold-uranium,Sedimentary,1,China
Graphite,Metamorphic,40,"Austria, Brazil, Canada, China, Czech Republic, Germany, Italy, Kenya, Libya, Madagascar, Mexico, Romania, Russia, South Africa, Ukraine, Zimbabwe"
Graphite,Sedimentary,2,"Bhutan, China"
Graphite,Amorphous Graphite,23,"Australia, Austria, China, Czech Republic, Mexico, North Korea, Peru, Romania, Russia, South Africa, South Korea, United States of America"
